醫事機構代碼,醫事機構名稱,特約類別,電話,地址
3838011441,中興大愛中醫診所,診所,049-2331339,南投縣南投市營北里學藝路５號
3538022546,普仁診所,診所,049-2930373,南投縣埔里鎮一新里東峰路１９號
3538020015,王明經診所,診所,049-2915708,南投縣埔里鎮大城里中山路３段２８５號
7438020017,恩生助產所,助產所,049-2911048,南投縣埔里鎮大城里中山路三段４７０號
5938020257,德林藥局,藥局,049-2915293,南投縣埔里鎮大城路２０６號
8438020563,迦南康復之家,康復之家,049-2423732,南投縣埔里鎮中山路１段１８２號
5938021576,禾康藥局,藥局,049-2906351,南投縣埔里鎮中山路２段１０６之１號
3738020279,中心牙醫診所,診所,049-2420555,南投縣埔里鎮中山路２段１３３１號１樓
3538022573,欣明診所,診所,049-2983321,南投縣埔里鎮中山路２段２１３號１樓
3538022411,幸生診所,診所,049-2906668,南投縣埔里鎮中山路２段２４７之１號
5938021521,大家好藥局,藥局,049-2995876,南投縣埔里鎮中山路２段２６２－１號
3838020146,福康中醫診所,診所,049-2997879,南投縣埔里鎮中山路２段７９號
3538022260,安杏診所,診所,049-2980445,南投縣埔里鎮中山路３段１００號
3538022386,賴雅雲眼科診所(張大川聯合診所),診所,049-2998980,南投縣埔里鎮中山路３段８７號１樓
3538022395,張大川耳鼻喉科診所（張大川聯合診所）,診所,049-2998980,南投縣埔里鎮中山路３段８７號１樓
8438020554,迦惠社區復健中心,康復之家,049-2423732,南投縣埔里鎮中山路一段１８２－１號４樓
2338020010,南投縣埔里鎮衛生所,診所,049-2982157,南投縣埔里鎮中山路二段２５６號
3538022331,安麗小兒科內科診所,診所,049-2991030,南投縣埔里鎮中山路二段２６２號
5938021914,好安心藥局,藥局,049-2990377,南投縣埔里鎮中山路二段３２７號
3538022564,李振明診所,診所,049-2991151,南投縣埔里鎮中山路二段３５５號
3838021296,仁安堂中醫診所,診所,049-2985128,南投縣埔里鎮中山路三段１３２號
3738021418,自然牙醫診所,診所,049-2918186,南投縣埔里鎮中山路三段３４１號１Ｆ
5938021683,埔里啄木鳥藥局,藥局,049-2914510,南投縣埔里鎮中山路三段４６７號
3738021338,全民牙醫診所,診所,049-2994577,南投縣埔里鎮中山路三段92號
3538020480,得恩診所,診所,049-2986178,南投縣埔里鎮中正一路１６０．１６２號
5938021745,欣欣藥局,藥局,049-2421931,南投縣埔里鎮中正路３８５號
3538020588,人安內科診所,診所,049-2992070,南投縣埔里鎮中正路４０２號
3538022251,新仁愛診所,診所,049-2906430,南投縣埔里鎮中正路４２７號
3538020524,陳立強診所,診所,049-2903127,南投縣埔里鎮中正路４３１號
3538020435,慶生婦產科診所,診所,049-2985855,南投縣埔里鎮中正路４５２號
3538020506,安泰診所,診所,049-2987289,南投縣埔里鎮中正路460號
5938021423,黎明藥局,藥局,049-2990941,南投縣埔里鎮中正路４６２號
3838021223,元濟中醫診所,診所,049-2906386,南投縣埔里鎮中正路５３１號２樓
5938021781,幸福藥局,藥局,049-2999800,南投縣埔里鎮中正路５４８號
5938021898,宜安健保藥局,藥局,049-2904170,南投縣埔里鎮中正路５６３號
3538020551,吳錦翼耳鼻喉科診所,診所,049-2989448,南投縣埔里鎮中正路５６３號１樓
3838021250,天人中醫診所,診所,049-2987699,南投縣埔里鎮北安里中山路二段１５８號
3538022340,錫安診所,診所,049-2999907,南投縣埔里鎮北辰街１１９號１樓
3538020499,詹診所,診所,049-2980289,南投縣埔里鎮北辰街１號
3838020093,武進中醫診所,診所,049-2984973,南投縣埔里鎮北門里中山路二段２１１號
3538022242,黎俊奇診所,診所,049-2999576,南投縣埔里鎮北門里中正路４６４號
3738020233,許明成牙醫診所,診所,049-2999802,南投縣埔里鎮北門里忠孝路３５３號
3738020180,東海牙醫診所,診所,049-2906196,南投縣埔里鎮北梅里信義路３５６號
3738021394,埔渼牙醫診所,診所,049-2998600,南投縣埔里鎮北環路１９０號
3538022171,長榮診所,診所,049-2994830,南投縣埔里鎮同聲里忠孝路３２９號
3538022466,慈惠診所,診所,049-2996996,南投縣埔里鎮西安路１段１２６號
3838020119,十方中醫診所,診所,049-2996279,南投縣埔里鎮西安路一段３３５號
3538022653,惠安診所,診所,049-2902467,南投縣埔里鎮西安路一段７０號１、２Ｆ
3538022485,金生診所,診所,049-2423799,南投縣埔里鎮西安路一段８８號
3538020042,一弘診所,診所,049-2983192,南投縣埔里鎮西門里中正一路２２號
3738021409,麗緻牙醫診所,診所,049-2900606,南投縣埔里鎮西門里中正路４３２－２號１、２樓
3838020128,濟生中醫診所,診所,049-2900719,南投縣埔里鎮西門里中正路４３５號
3538020284,中欣聯合診所,診所,049-2983895,南投縣埔里鎮西門里中正路４５３號
3738020091,仁仁牙醫診所,診所,049-2991686,南投縣埔里鎮西康路７８號
5938021790,健豐藥局,藥局,049-2423221,南投縣埔里鎮和四街３號
3538022608,福樂診所,診所,049-2900977,南投縣埔里鎮和平東路４１３號
5938021932,喜樂藥局,藥局,049-2999992,南投縣埔里鎮和平東路４１５號
3538022635,惠承診所,診所,049-2420453,南投縣埔里鎮和平東路４１７號１樓
3838021287,首茗中醫診所,診所,049-2985015,南投縣埔里鎮忠孝路１７２號１樓
3538022662,晨洋診所,診所,049-2424452,南投縣埔里鎮忠孝路３００號１樓
3538020613,祐安小兒科診所,診所,049-2997752,南投縣埔里鎮東門里中正路３８７號
3538022322,李眼科診所,診所,049-2420606,南投縣埔里鎮東門里中正路３８９號
3538020168,童小兒科家醫科聯合診所,診所,049-2983212,南投縣埔里鎮東門里中正路４０８號
5938020177,米宏藥局,藥局,049-2989908,南投縣埔里鎮東門里中正路５３１號
3838021278,裕生中醫診所,診所,049-2423232,南投縣埔里鎮東門里東華路１２０號１樓
5938021638,大善藥局,藥局,049-2930395,南投縣埔里鎮東峰路１９之１號
3738021383,普仁牙醫診所,診所,049-2930635,南投縣埔里鎮東峰路１９號
3838021241,普仁中醫診所,診所,049-2930373,南投縣埔里鎮東峰路１９號
3738020260,東華牙醫診所,診所,049-2980994,南投縣埔里鎮東華路７７號
3738020171,仁仲牙醫診所,診所,049-2988671,南投縣埔里鎮東華路94號
3738020019,東峰牙醫診所,診所,049-2982150,南投縣埔里鎮東榮路１０３號
3738020224,懷恩牙醫診所,診所,049-2983347,南投縣埔里鎮東榮路２０２號
8438020572,迦美社區復健中心,康復之家,049-2423527,南投縣埔里鎮東榮路４５４號
3738020073,名家牙醫診所,診所,049-2901585,南投縣埔里鎮東榮路82號
3538022626,康健診所,診所,049-2420768,南投縣埔里鎮信義路１０１９號１樓
3538020604,聖光小兒科診所,診所,049-2988099,南投縣埔里鎮南昌街１６０號
5938021950,安康藥局,藥局,049-2904542,南投縣埔里鎮南昌街１６９號
3838020100,施治寰中醫診所,診所,049-2906847,南投縣埔里鎮南昌街１８３號
3538022233,劉春輝診所,診所,049-2999197,南投縣埔里鎮南昌街１９０號
5938021843,全新藥局,藥局,049-2986578,南投縣埔里鎮南昌街１９６號
5938021852,高品藥局,藥局,049-2421616,南投縣埔里鎮南昌街２００號
3738020251,章振忠牙醫診所,診所,049-2996876,南投縣埔里鎮南昌街２－１號
3738021365,雅美牙醫診所,診所,049-2424250,南投縣埔里鎮南昌街２４１號
3538022359,台大建村皮膚科診所,診所,049-2906112,南投縣埔里鎮南昌街２５７號
5938021969,宜康健保藥局,藥局,049-2904170,南投縣埔里鎮南昌街２６１號
5938021432,東風中西藥局,藥局,049-2903112,南投縣埔里鎮南昌街３０９號
3538022199,莊眼科診所,診所,049-2420623,南投縣埔里鎮南門里中山路２段３４９號
3538022224,張榮坤診所,診所,049-2982255,南投縣埔里鎮南門里中山路２段３６３號
3538020211,呂外科診所,診所,049-2982030,南投縣埔里鎮南門里中山路二段３３１號
3738020064,永昇牙醫診所,診所,049-2995111,南投縣埔里鎮南門里中山路二段３３６號
3838020075,冠雲中醫診所,診所,049-2987150,南投縣埔里鎮南門里中山路二段３５１號
3538020177,江診所,診所,049-2983713,南投縣埔里鎮南門里中山路二段３８６號
3538020319,黃正誠診所,診所,049-2982577,南投縣埔里鎮南門里西安路一段７６號
5938020159,吉生藥局,藥局,049-2982966,南投縣埔里鎮南門里南昌街１４５號
9438020304,新浦里醫事檢驗所,檢驗所,049-2982541,南投縣埔里鎮南門里南昌街１９４號
3538022537,陳宏麟診所,診所,049-2900303,南投縣埔里鎮南門里南昌街１９８號
3838021161,大眾中醫診所,診所,049-2995333,南投縣埔里鎮南門里南昌街２０２號
5938021941,光田藥局,藥局,049-2982830,南投縣埔里鎮南門里南榮路１２號
5938020104,新仁壽藥局,藥局,049-2983210,南投縣埔里鎮南門里南榮路１３號１樓
3538020266,盧內科診所,診所,049-2983669,南投縣埔里鎮南盛街２８號
3838021269,松裕堂中醫診所,診所,049-2997836,南投縣埔里鎮南興街２６２號
5938021772,集成藥局,藥局,049-2992837,南投縣埔里鎮南興街２７０號
3838021232,智全中醫診所,診所,049-2424245,南投縣埔里鎮南興街２９７號
5938021987,躍獅以樂藥局,藥局,049-2423632,南投縣埔里鎮南興街２９９號
5938021503,久泰藥局,藥局,049-2980968,南投縣埔里鎮南興街３２４．３２６號
3738020206,聖惠牙醫診所,診所,049-2997376,南投縣埔里鎮清新里南興街２４３號
3838021198,隆昇中醫診所,診所,049-2998003,南投縣埔里鎮隆生路８１號
1138020015,埔基醫療財團法人埔里基督教醫院,區域醫院,049-2912151,南投縣埔里鎮愛蘭里鐵山路１號
7738020022,埔基醫療財團法人埔里基督教醫院附設居家護理所,居家護理,049-2912151,南投縣埔里鎮愛蘭里鐵山路１號
3538022591,上和診所,診所,049-2981472,南投縣埔里鎮蜈蚣里中山路一段１８２－１號１樓
0638020014,臺中榮民總醫院埔里分院,地區醫院,049-2990833,南投縣埔里鎮蜈蚣里榮光路１號
7538020019,臺中榮民總醫院埔里分院附設居家護理所,居家護理,049-2998911,南投縣埔里鎮蜈蚣里榮光路１號
3538020275,梁外婦產科診所,診所,049-2984146,南投縣埔里鎮薰化一巷２７號
3538021674,昱安復健科診所,診所,049-2422477,南投縣埔里鎮薰化里中山路３段３９號
3538020382,泰源診所,診所,049-2983878,南投縣埔里鎮薰化里中山路三段１２８號
3738020055,劉牙醫診所,診所,049-2981300,南投縣埔里鎮薰化里中山路三段１７號
5938020079,仁和藥局,藥局,049-2985470,南投縣埔里鎮薰化里中山路三段９７號
3538020293,王婦產科診所,診所,049-2983033,南投縣埔里鎮薰化里西康路６４號
3538022215,芸通耳鼻喉科診所,診所,049-2996790,南投縣埔里鎮薰化里南昌街２２９號
5938020088,佳民藥局,藥局,049-2987151,南投縣埔里鎮薰化里南昌街２８７號
3838031372,洪日宏中醫診所,診所,049-2339387,南投縣草屯鎮上林里太平路１段５０３號１樓
3538030860,仁民診所,診所,049-2370526,南投縣草屯鎮山腳里虎山路１２６號
5938030075,新慈仁藥局,藥局,049-2335426,南投縣草屯鎮山腳里虎山路１３０號
3738030275,林牙醫診所,診所,049-2358280,南投縣草屯鎮山腳里虎山路１３４號
3738030284,東陽牙醫診所,診所,049-2391030,南投縣草屯鎮山腳里虎山路１７９之１號
3538030066,陳國楨內兒科診所,診所,049-2316072,南投縣草屯鎮山腳里虎山路５０９號
3738030211,簡仲謀牙醫診所,診所,049-2335156,南投縣草屯鎮山腳里虎山路５２２號
3738030202,安麗牙醫診所,診所,049-2319519,南投縣草屯鎮山腳里新富路１５９號
3738030088,育全牙醫診所,診所,049-2314369,南投縣草屯鎮中山里中山街１７７號
3538030922,林俊杰小兒科診所,診所,049-2306678,南投縣草屯鎮中山里中山街１９５號
3538032800,姚美輝骨科外科診所,診所,049-2362923,南投縣草屯鎮中山里太平路２段２０７號
3538030075,王外科診所,診所,049-2326706,南投縣草屯鎮中山里太平路二段２３１號
3738031478,文華牙醫診所,診所,049-2320999,南投縣草屯鎮中山里草溪路１０４９號
3838031354,聖明中醫診所,診所,049-2302979,南投縣草屯鎮中山里碧山南路３０號
3838031443,永盛中醫診所,診所,049-2356233,南投縣草屯鎮中山街１２０號１樓
5938030735,草屯福倫藥局,藥局,049-2314218,南投縣草屯鎮中山街１４２號
3538030137,張耳鼻喉科診所,診所,049-2338060,南投縣草屯鎮中山街１７９號
3538030771,簡國仁診所,診所,049-2333464,南投縣草屯鎮中山街１８４號
5938030057,萬壽堂藥局,藥局,049-2333570,南投縣草屯鎮中山街２１１號
3538030048,滄浪診所,診所,049-2333420,南投縣草屯鎮中山街２４２號
3838031578,登科中醫診所,診所,049-2336559,南投縣草屯鎮中山街２６９號
3538030422,張國治耳鼻喉科診所,診所,049-2362665,南投縣草屯鎮中山街２７５號
3538030360,賜安診所,診所,049-2354658,南投縣草屯鎮中山街２７７號
3738031469,信安牙醫診所,診所,049-2333609,南投縣草屯鎮中山街２８１號
3538033012,洪瑞成小兒科診所,診所,049-2323151,南投縣草屯鎮中山街３６號及３８號１F
5938032211,建和藥局,藥局,049-2353793,南投縣草屯鎮中山街４１２、４１４號
3838030213,北大中醫診所,診所,049-2356279,南投縣草屯鎮中山街４６６號
3538033021,大雄泌尿科診所,診所,049-2326299,南投縣草屯鎮中山街５３號
3838030277,佳仁堂中醫診所,診所,049-2320938,南投縣草屯鎮中正里中正路６８５號
5938030379,豐安藥局,藥局,049-2334412,南投縣草屯鎮中正路１２１９號
5938032220,新豐藥局,藥局,049-2565127,南投縣草屯鎮中正路１２３２號
3738031432,匡美牙醫診所,診所,049-2569847,南投縣草屯鎮中正路５６７之３號
3538030440,林洸燁小兒科診所,診所,049-2318735,南投縣草屯鎮中正路６２６號
3538033030,宏安耳鼻喉科診所,診所,049-2338109,南投縣草屯鎮中正路６７０號
5938030100,環球藥局,藥局,049-2356485,南投縣草屯鎮中正路７５３號
3538033076,聖安診所,診所,049-2311139,南投縣草屯鎮中正路７６１號１樓
3538030459,邱哲煌皮膚科診所,診所,049-2322897,南投縣草屯鎮中正路７７１號
5938032140,東洋藥局,藥局,049-2336096,南投縣草屯鎮中正路７９３號
3738031496,鼎真牙醫診所,診所,049-2353333,南投縣草屯鎮中正路８００號１．２樓
3738031503,紐約牙醫診所,診所,049-2356600,南投縣草屯鎮中興路１５２號
3738030186,許智淵牙醫診所,診所,049-2307375,南投縣草屯鎮仁愛街６８號
3738031370,恩典牙醫診所,診所,049-2301287,南投縣草屯鎮太平路２段１７５號
3538031107,草屯陳診所,診所,049-2380295,南投縣草屯鎮太平路２段２２８號
3538032935,吳英滄診所,診所,049-2326989,南投縣草屯鎮太平路２段９３、９５號１樓
0938030016,佑民醫療社團法人佑民醫院,地區醫院,049-2358151,南投縣草屯鎮太平路一段２００號
5938032300,康好藥局,藥局,049-2358838,南投縣草屯鎮太平路一段２２７號
3538033049,達文西診所,診所,049-2332788,南投縣草屯鎮太平路一段２５５號１及２樓
3538032855,陳宏源診所,診所,049-2331718,南投縣草屯鎮太平路一段４４５號
3738031487,益泉牙醫診所,診所,049-2301796,南投縣草屯鎮太平路二段２５２號１樓
3538032748,草鞋墩神經外科診所,診所,049-2306989,南投縣草屯鎮太平路二段２８號１、２樓
1338030015,中國醫藥大學附設醫院草屯分院,地區醫院,049-2321188,南投縣草屯鎮平等街１４０號
0138030010,衛生福利部草屯療養院,區域醫院,049-2550800,南投縣草屯鎮玉屏路１６１號
3538030600,杏哲診所,診所,049-2566636,南投縣草屯鎮玉屏路４３－１３號
3538033110,協安診所,診所,049-2314945,南投縣草屯鎮玉峰里炎峰街８４號１樓
8138031033,衛生福利部草屯療養院附設草屯復健中心,康復之家,049-2550800,南投縣草屯鎮玉峰街１６號５樓
8138031024,衛生福利部草屯療養院附設易居康復之家,康復之家,049-2550800,南投縣草屯鎮玉峰街１６號６樓、７樓
3538030100,莊診所,診所,049-2333387,南投縣草屯鎮和平里中山街１１６號
3538030904,寶仁復健科診所,診所,049-2304666,南投縣草屯鎮和平里太平路二段２３４號
3538030324,光陽診所,診所,049-2334203,南投縣草屯鎮和平里太平路二段２７４號
3538030155,李耳鼻喉科診所,診所,049-2338615,南投縣草屯鎮和平里育英街１８７號
3538033094,品康耳鼻喉科診所,診所,049-2333100,南投縣草屯鎮和平里育英街２００號
3538030520,育英診所,診所,049-2367696,南投縣草屯鎮和平里和興三街２４號
3538033003,佳佳診所,診所,049-2313395,南投縣草屯鎮和平里明賢街６６號
3738031389,巧傑牙醫診所,診所,049-2354066,南投縣草屯鎮和平里虎山路８２５號
3538030306,光海診所,診所,049-2334378,南投縣草屯鎮和平里虎山路８４１號
3738030033,泰安牙醫診所,診所,049-2321427,南投縣草屯鎮和平里碧山路１３７號
3538033058,戴偉竣皮膚科診所,診所,049-2330332,南投縣草屯鎮和平街３１號１樓
3838031416,王崇儒中醫診所,診所,049-2328937,南投縣草屯鎮和興一街１３號
8338030512,草鞋墩社區復健中心,康復之家,049-2328818,南投縣草屯鎮和興街５５號５樓
3538030057,李內兒科診所,診所,049-2362021,南投縣草屯鎮明正里中正路７３３號
3538030164,戴眼科診所,診所,049-2313553,南投縣草屯鎮明正里中正路７４１號
3738031398,展維牙醫診所,診所,049-2302233,南投縣草屯鎮明正里中正路７４７號
3538032926,尚德診所,診所,049-2381800,南投縣草屯鎮明正里自由街１３４巷２３號
3738030113,大權牙醫診所,診所,049-2327989,南投縣草屯鎮明正里忠孝街４０８號
3738031405,宏駿牙醫診所,診所,049-2318666,南投縣草屯鎮明正里芬草路１段１２９號
5938030280,易生藥局,藥局,049-2323350,南投縣草屯鎮明正里芬草路一段１５３號
3538032739,陳俊義耳鼻喉科診所,診所,049-2354243,南投縣草屯鎮明賢街１０號
3838031461,永安中醫診所,診所,049-2323166,南投縣草屯鎮明賢街１段２８號
3538030593,泰安婦產科診所,診所,049-2333168,南投縣草屯鎮炎峰村中正路６０８號
3538033101,用心生活診所,診所,049-2380866,南投縣草屯鎮炎峰里中正路５９０、５９０－１號１Ｆ
3538030815,現代眼科診所,診所,049-2327707,南投縣草屯鎮炎峰里中正路６０２１號
3738030168,泰誠牙醫診所,診所,049-2356921,南投縣草屯鎮炎峰里中正路６２７號
3738031361,聖恩牙醫診所,診所,049-2333131,南投縣草屯鎮炎峰里中正路６３８號
3538032159,英全診所,診所,049-2334287,南投縣草屯鎮炎峰里炎峰街１４２號
3838030026,明山中醫診所,診所,049-2334377,南投縣草屯鎮炎峰里炎峰街１７號
3738030122,林政德牙醫診所,診所,049-2355178,南投縣草屯鎮炎峰里虎山路７９０號
3538030244,洪明本婦產科診所,診所,049-2334277,南投縣草屯鎮炎峰里虎山路８９７號
1538030037,曾漢棋綜合醫院,地區醫院,049-2314145,南投縣草屯鎮炎峰里虎山路９１５號
3738030051,勝美牙醫診所,診所,049-2330231,南投縣草屯鎮炎峰里青雲街３２號
3738030097,森洲牙醫診所,診所,049-2313090,南投縣草屯鎮炎峰里建國街２９號
3738030346,江舜生牙醫診所,診所,049-2380380,南投縣草屯鎮炎峰街１１２號
3538032953,蔡文龍診所,診所,049-2328000,南投縣草屯鎮炎峰街９４號
3838030295,長庚中醫聯合診所,診所,049-2380666,南投縣草屯鎮芬草路１段３２號
5938030084,國聖藥局,藥局,049-2305685,南投縣草屯鎮芬草路１段３５號
3738030131,保和牙醫診所,診所,049-2359334,南投縣草屯鎮虎山路１２２號
3838031532,彌陀中醫診所,診所,049-2392501,南投縣草屯鎮虎山路３７號
5938030780,虎山藥局,藥局,049-2371389,南投縣草屯鎮虎山路４９８之１號
3838031470,虎山大愛中醫診所,診所,049-2393299,南投縣草屯鎮虎山路５１９號
3738030293,信基牙醫診所,診所,049-2307141,南投縣草屯鎮虎山路６９１號
3838031541,福氣中醫診所,診所,049-2372567,南投縣草屯鎮虎山路６９號
5938032355,炎峰藥局,藥局,049-2380840,南投縣草屯鎮虎山路７３２號
3538032962,祐幼小兒科診所,診所,049-2320606,南投縣草屯鎮虎山路７４６號
3538030691,洪德診所,診所,049-2306313,南投縣草屯鎮虎山路７４８號
5938032328,長頸鹿藥局,藥局,049-2318125,南投縣草屯鎮虎山路７８２號
3538032837,小太陽小兒科診所,診所,049-2303535,南投縣草屯鎮虎山路７８６號
3538030477,培恭診所,診所,049-2365652,南投縣草屯鎮虎山路７８８號
3838031452,宏昌中醫診所,診所,049-2380168,南投縣草屯鎮虎山路８２７號
3538033129,文山診所,診所,049-2551410,南投縣草屯鎮南埔里中正路２３３之１２號
3838030035,恆元中醫診所,診所,049-2336195,南投縣草屯鎮草溪路１０１１號
2338030016,南投縣草屯鎮衛生所,診所,049-2362023,南投縣草屯鎮草溪路８８２巷７號
3838030071,蒼生中醫診所,診所,049-2334747,南投縣草屯鎮草溪路９５９號
3538033067,為國眼科診所,診所,049-2320190,南投縣草屯鎮草溪路９７８號１－２樓
3538030468,洪啟芬診所,診所,049-2553359,南投縣草屯鎮御史里中正路１２１４號
3738030195,弘泰安牙醫診所,診所,049-2560570,南投縣草屯鎮御史里中正路１５１６號
3538030968,蔡文雄診所,診所,049-2569085,南投縣草屯鎮富寮里富昌路２-１號
5938030191,建林藥局,藥局,049-2336449,南投縣草屯鎮復興路７３４號
3538030995,嘉信眼科診所,診所,049-2323238,南投縣草屯鎮新厝里太平路２段１７８號
3738030159,白牙醫診所,診所,049-2336730,南投縣草屯鎮新厝里太平路二段２００號
3538030851,錦林診所,診所,049-2357509,南投縣草屯鎮新厝里虎山路７３６號
3538032971,群和診所,診所,049-2353197,南投縣草屯鎮新豐路７２８巷１８號
8438031155,惠民社區復健中心,康復之家,049-2355537,南投縣草屯鎮新豐路７２８巷３０號
8438031146,群力康復之家,康復之家,049-2353028,南投縣草屯鎮新豐路７２８巷３２號
3838031434,鴻濟中醫診所,診所,049-2356969,南投縣草屯鎮碧山南路１１２－１號
3538031081,謝立中聯合診所,診所,049-2301010,南投縣草屯鎮碧山南路１３號
3838031550,貴仁堂中醫診所,診所,049-2380928,南投縣草屯鎮碧山南路１４號１樓
3838031381,啟福中醫診所,診所,049-2319955,南投縣草屯鎮碧山南路１７號
3538032793,聖方小兒科診所,診所,049-2307728,南投縣草屯鎮碧山南路２１號１樓
3738030266,上揚牙醫診所,診所,049-2355697,南投縣草屯鎮碧山南路４２號
5938030431,銘壽堂藥局,藥局,049-2322759,南投縣草屯鎮碧山路１６２號
3838031498,豐本中醫診所,診所,049-2338895,南投縣草屯鎮碧山路１８號１樓
3738031450,仁德牙醫診所,診所,049-2381000,南投縣草屯鎮碧山路６３４號
5938030235,久長安藥局,藥局,049-2333256,南投縣草屯鎮碧山路９８號
5938030253,健泰藥局,藥局,049-2336280,南投縣草屯鎮碧峰里碧山路１０８２號
5938100018,佑全藥局,藥局,049-2722998,南投縣國姓鄉中興路１０３號
3538101382,安鴻診所,診所,049-2722778,南投縣國姓鄉中興路１３０號１樓
5938101140,山芙蓉藥局,藥局,049-2720351,南投縣國姓鄉中興路１４６號
3838101066,家家中醫診所,診所,049-2723391,南投縣國姓鄉中興路１７０號１樓
3538101373,宏福診所,診所,049-2721517,南投縣國姓鄉中興路１７８號
3538101408,永隆診所,診所,049-2452506,南投縣國姓鄉北山村南港路３０３號１樓
5938101122,國姓藥局,藥局,049-2722007,南投縣國姓鄉石門村中興路７０號
5938100063,興安藥局,藥局,049-2721133,南投縣國姓鄉石門村國姓路２７８１號
3738101046,艾美牙醫診所,診所,049-2720147,南投縣國姓鄉國姓村中興路３２６號
2338100013,南投縣國姓鄉衛生所,診所,049-2721009,南投縣國姓鄉國姓村民族街４２號
7538100012,國姓鄉衛生所附設居家護理所,居家護理,049-2721009,南投縣國姓鄉國姓村民族街４２號
2338090012,南投縣魚池鄉衛生所,診所,049-2895513,南投縣魚池鄉東池村魚池街１９４號
7538080011,魚池鄉衛生所附設居家護理所,居家護理,049-2895513,南投縣魚池鄉東池村魚池街３５４巷８號
3538091096,楊順喜小兒科診所,診所,049-2898591,南投縣魚池鄉魚池村魚池街１２５之２號１樓
5938090026,源和藥局,藥局,049-2897666,南投縣魚池鄉魚池村魚池街２７８號
5938090080,得群藥局,藥局,049-2899245,南投縣魚池鄉魚池村魚池街３３８號
3838090013,新惠安中醫診所,診所,049-2896805,南投縣魚池鄉魚池村魚池街３６６號
5938091149,得康藥局,藥局,049-2899630,南投縣魚池鄉魚池村魚池街３７３號
3538090071,上恩診所,診所,049-2897448,南投縣魚池鄉魚池村魚池街３９２號
3738090011,蕭牙醫診所,診所,049-2895654,南投縣魚池鄉魚池村魚池街４００號
3538091103,台安診所,診所,049-2895139,南投縣魚池鄉魚池街３３４巷１６號
3738090020,邱仁宏牙醫診所,診所,049-2898918,南投縣魚池鄉魚池街４６１號
3538071101,常安診所,診所,049-2755102,南投縣鹿谷鄉中正路一段５５號
3738071025,以美牙醫診所,診所,049-2750919,南投縣鹿谷鄉鹿谷村中正路２段１４２號
3538070024,汪弘洲診所,診所,049-2751845,南投縣鹿谷鄉鹿谷村六合街１１０號
2338070010,南投縣鹿谷鄉衛生所,診所,049-2752002,南投縣鹿谷鄉鹿谷里中正路二段２０號
3538070033,陳首志診所,診所,049-2751753,南投縣鹿谷鄉彰雅村中正路一段３２４號
3838070011,鳳凰中醫診所,診所,049-2752032,南投縣鹿谷鄉彰雅村中正路一段３５３號
3538070060,鹿谷鄉農民診所,診所,049-2753995,南投縣鹿谷鄉廣興村光復路１８８號１樓
3738070019,鹿谷鄉農會附設牙醫診所,診所,049-2751782,南投縣鹿谷鄉廣興村光復路１８８號２Ｆ
2338050018,南投縣集集鎮衛生所,診所,049-2762015,南投縣集集鎮民生路１０６號
5938050120,家禾藥局,藥局,049-2760565,南投縣集集鎮民生路２３７號
5938050139,省安藥局,藥局,049-2763442,南投縣集集鎮民生路３１號
3838050519,集祥中醫診所,診所,049-2762789,南投縣集集鎮和平里和平街６號
3538051154,第一診所,診所,049-2761899,南投縣集集鎮集集里民生路234號
3538051172,陳威申診所,診所,049-2762888,南投縣集集鎮集集里民生路２４２號
3738050535,春亮牙醫診所,診所,049-2764289,南投縣集集鎮集集街１８號
3743010696,揚昇牙醫診所,診所,08-7561610,屏東市大武里大武路２５號
7643010045,寶建醫療社團法人寶建醫院附設居家護理所,居家護理,08-7665995,屏東市中山路１１９號
5943010254,大和藥局,藥局,08-7328052,屏東市太平里中正路１６７－１號
5943011135,昱昇藥師藥局,藥局,08-7377471,屏東市北勢里中正路３７３－１號
5943010263,進東藥局,藥局,08-7333446,屏東市平和里民權路４３－３號
3743010712,民族牙醫診所,診所,08-7337957,屏東市必信里民族路３０５－５號暨３０５－３號１樓
7543010025,衛生福利部屏東醫院附設居家護理所,居家護理,08-7363011,屏東市自由路２７０號
5943010665,中美藥局,藥局,08-7348697,屏東市扶風里林森路４５號
7643011060,民眾醫院附設居家護理所,居家護理,08-7325455,屏東市忠孝路１２０之１號
3743010507,陳伯甫牙醫診所,診所,08-7330975,屏東市明正里中正路１３９號
0943010017,寶建醫療社團法人寶建醫院,區域醫院,08-7665995,屏東市空翔里中山路１２３號.屏東市自由路６５０－１號Ｂ１
5943010272,新東海藥局,藥局,08-7224861,屏東市長春里民生路１１６號
5943010432,億泰藥局,藥局,08-7324005,屏東市勝利里自由路５８２號
3843011864,六和堂中醫診所,診所,08-7215533,屏東市廣東路４３－３號
5943081155,信昌藥局,藥局,08-7397337,屏東縣九如鄉九如路２段１１９號
5943081146,穎昇藥局,藥局,08-7393672,屏東縣九如鄉九如路二段１３１號
3743080027,信一牙醫診所,診所,08-7394187,屏東縣九如鄉九如路二段１３７號
2343080019,屏東縣九如鄉衛生所,診所,08-7392006,屏東縣九如鄉九如路二段２４７號
3543080096,王天診所,診所,08-7395256,屏東縣九如鄉九里路５號
3543081146,沐民診所,診所,08-7396929,屏東縣九如鄉九清村九如路二段１８９號
3543080103,愛林診所,診所,08-7395758,屏東縣九如鄉九清村維新街１２號
3543080087,方晨瑋診所,診所,08-7393914,屏東縣九如鄉九塊村九如路二段１１５號
