,54be8165-4900-4665-b63f-5956d38a10d1
"CALCIUM CYANAMIDE",54be8167-49b0-4390-a3ef-5956d38a10d1
"CALCIUM D- SACCHARATE",54be8165-c1cc-40ed-893c-5956d38a10d1
"CALCIUM DIPHOSPHATE (CALCIUM PYROPHOSPHATE)",54be8169-c874-4d6d-9d38-5956d38a10d1
"CALCIUM DOBESILATE",54be8164-8e0c-469d-a787-5956d38a10d1
"CALCIUM FLUORIDE",54be8162-9dd8-48da-9cdf-5956d38a10d1
"CALCIUM FOLINATE (EQ TO FOLINIC ACID)",54be8162-8bf8-49ec-b0bc-5956d38a10d1
"CALCIUM FORMATE",54be8178-645c-425f-b34b-5956d38a10d1
"CALCIUM GLUCEPTATE (CAL. GLUCOHEPTONATECAL. HEPT",54be8167-1dd0-485f-824e-5956d38a10d1
"CALCIUM GLUCONATE",54be8162-3cf8-4c5e-857e-5956d38a10d1
"CALCIUM GLUCONATE (GLUCONO-GALACTO)",54be8164-8008-43a4-a725-5956d38a10d1
"CALCIUM GLUCONATE MONOHYDRATE",54be8164-6f5c-42d1-b38f-5956d38a10d1
"CALCIUM GLUCONO-GALACTO GLUCONATE",54be8167-1cf8-4418-8714-5956d38a10d1
"CALCIUM GLYCEROPHOSPHATE",54be8164-2478-445e-ac23-5956d38a10d1
"CALCIUM HYDROGEN PHOSPHATE",54be8165-71a0-4b0f-8c0c-5956d38a10d1
"CALCIUM HYDROGEN PHOSPHATE DEHYDRATE",54be816e-8818-484e-add6-5956d38a10d1
"CALCIUM HYDROGEN PHOSPHATE DIHYDRATE",54be8169-0ef4-4ecb-9732-5956d38a10d1
"CALCIUM HYDROXIDE",54be8177-d938-4754-891d-5956d38a10d1
"CALCIUM HYPOPHOSPHITE",54be816a-b918-46c0-bdfb-5956d38a10d1
"CALCIUM IODIDE",54be8162-61b8-4090-9069-5956d38a10d1
"CALCIUM ION",54be8163-cff8-489f-98ac-5956d38a10d1
"CALCIUM LACTATE",54be8162-28a8-47d6-97f8-5956d38a10d1
"CALCIUM LEVULINATE",54be816a-d128-4793-aa05-5956d38a10d1
"CALCIUM OLEATE",54be8167-a91c-48a9-bb50-5956d38a10d1
"CALCIUM OXIDE",54be817d-0044-46e7-9101-5956d38a10d1
"CALCIUM OXIDE ISOLATE",54be8171-f754-4d82-963b-5956d38a10d1
"CALCIUM PANTOTHANATE TYPE S",54be8166-245c-422f-95a3-5956d38a10d1
"Calcium Pantothenate",54be8163-2dd4-4e67-a7dd-5956d38a10d1
"CALCIUM PANTOTHENATE",54be8167-b794-4540-873b-5956d38a10d1
"CALCIUM PANTOTHENATE TYPE S",54be816f-1d20-4e54-b24c-5956d38a10d1
"CALCIUM PEARL",54be8163-c75c-4278-93bb-5956d38a10d1
"CALCIUM PHOSPHATE DIBASIC",54be8162-132c-4230-9c74-5956d38a10d1
"CALCIUM PHOSPHATE DIBASIC ANHYDROUS",54be8163-ab70-4a10-bc9e-5956d38a10d1
"CALCIUM PHOSPHATE DIBASIC DIHYDRATE",54be8172-0a44-4ebf-9bbb-5956d38a10d1
"CALCIUM PHOSPHATE DIBASIC HYDROUS",54be8170-e74c-465f-b08e-5956d38a10d1
"CALCIUM PHOSPHATE MONOBASIC (CALCIUM BIPHOSPHATE)",54be8170-3640-4d01-87b0-5956d38a10d1
"CALCIUM PHOSPHATE TRIBASIC (CALCIUM PHOSPHATE)",54be8162-77f4-45d5-8789-5956d38a10d1
"CALCIUM PHOSPHOLACTATE",54be8167-7cdc-4d2b-9c73-5956d38a10d1
"CALCIUM PHYTATE",54be817d-71a8-432d-99c8-5956d38a10d1
"CALCIUM POLYSTYRENE SULFONATE EQUIVALENT TO CALCIUM",54be8167-ae24-4a63-9ab4-5956d38a10d1
"CALCIUM PROPIONATE",54be8178-a918-4b26-818c-5956d38a10d1
"CALCIUM SACCHARATE",54be8166-ca30-44cf-8c1d-5956d38a10d1
"CALCIUM SALICYLATE",54be8176-fc84-4e9d-a341-5956d38a10d1
"CALCIUM SENNOSIDES",54be8162-d11c-4e3b-9b57-5956d38a10d1
"CALCIUM SILICATE",54be8164-57c0-40e0-aabb-5956d38a10d1
"CALCIUM STEARATE",54be8167-9b0c-408d-aef0-5956d38a10d1
"CALCIUM SULFATE (HYDRATED CALCIUM SULFATE)",54be816f-7a38-4c8c-abd5-5956d38a10d1
"CALCIUM SULFATE HEMIHYDRATE (CA. SULFATE DRIED)",54be8179-8094-44fc-8d41-5956d38a10d1
"CALCIUM TRISODIUM DIETHYLENETRIAMINE PENTA ACETATE",54be8171-2ed4-4a54-99eb-5956d38a10d1
CALCIUM-2-OXO-3-PHENYL-PROPIONATE,54be8163-0190-4eb3-a510-5956d38a10d1
CALCIUM-3-METHYL-2-OXO-BUTYRATE,54be8163-12c0-4ed5-a8aa-5956d38a10d1
CALCIUM-3-METHYL-2-OXO-VALERATE,54be8163-decc-4a18-87d5-5956d38a10d1
CALCIUM-4-METHYL-2-OXO-VALERATE,54be8163-f060-4a3b-b8ed-5956d38a10d1
CALCIUM-DL-2-HYDROXY-4-(METHYL-THIO)-BUTYRATE,54be8163-2454-40e9-bf6f-5956d38a10d1
"CALCIUM-MAGNIUM-INOSITOLE HEXAPHOSPHATE",54be8179-875c-4acd-b6e6-5956d38a10d1
"CALF BLOOD DRIED PROTEIN-FREE STANDARDIZED DIALYSATE",54be8163-5eec-4447-ba2b-5956d38a10d1
"CALNITIN CHLORIDE DL-",54be817d-2264-4528-ac7e-5956d38a10d1
CALOCAINE,54be816c-1080-463f-94e2-5956d38a10d1
"CALUMBA POWDER",54be8174-b83c-4269-a8c7-5956d38a10d1
CALUSTERONE,54be8178-3cc4-46c4-9769-5956d38a10d1
"CAMOMILE FLOWER EXTRACT (1:4-5)",54be8166-a22c-4f59-9e63-5956d38a10d1
"CAMPANULACEAE EXTRACT",54be816a-2670-4258-b2b2-5956d38a10d1
CAMPHENE,54be8166-9530-4d86-8841-5956d38a10d1
"CAMPHENE D-",54be8173-ab70-4f3c-9417-5956d38a10d1
CAMPHOR,54be8162-76fc-456f-af5c-5956d38a10d1
"CAMPHOR D-",54be8163-04c0-41da-8f0e-5956d38a10d1
"CAMPHOR DEPURATA",54be8164-620c-4964-b508-5956d38a10d1
"CAMPHOR DL-",54be8162-abc4-4c2a-b75a-5956d38a10d1
"CAMPHOR OIL",54be8174-0098-4fb5-bf40-5956d38a10d1
"CAMPHOR POWDER",54be816c-2d94-4ca1-b279-5956d38a10d1
"CAMPHOR SPIRIT",54be816b-4578-4241-af49-5956d38a10d1
"CAMPHORATE TINCTURE",54be8171-8644-4cd1-b759-5956d38a10d1
"CAMPHORATE TINCTURE, WITHOUT OPIUM",54be816b-7878-4cac-9c5b-5956d38a10d1
"CAMPHORATED OPIUM TINCTURE",54be8162-5db0-4e2f-b383-5956d38a10d1
CAMYLOFINE,54be8168-5d6c-4da0-98b4-5956d38a10d1
"CAMYLOFINE 2HCL(ACAMYLOPHENINE HYDROCHLORIDE)",54be816a-ff40-40f4-8350-5956d38a10d1
Canakinumab,54be817e-f348-429a-9064-5956d38a10d1
"CANDESARTAN CILEXETIL",54be8163-c24c-48ec-809a-5956d38a10d1
CANDICIDIN,54be8162-2750-4a58-976f-5956d38a10d1
CAPECITABINE,54be8175-94a0-41d8-9b04-5956d38a10d1
"CAPREOMYCIN SULFATE",54be8173-4378-45bf-b433-5956d38a10d1
"CAPRIC ACID DIETHYL AMIDE",54be8169-03c0-441a-9cf9-5956d38a10d1
"CAPRYLATE SODIUM",54be8162-82b8-45e4-bd80-5956d38a10d1
"CAPRYLATE ZINC",54be817c-bb10-41a7-b882-5956d38a10d1
"CAPRYLIC ACID(OCTANOIC ACID)",54be8167-6478-43e9-9c54-5956d38a10d1
CAPSAICIN,54be8162-be24-4890-9a8a-5956d38a10d1
CAPSICUM,54be8163-7ed8-4e56-8512-5956d38a10d1
"CAPSICUM EXTRACT",54be8162-c8ac-42bf-bd35-5956d38a10d1
"CAPSICUM OLEO RESIN",54be8169-8464-4191-a4b7-5956d38a10d1
"CAPSICUM POWDER",54be8168-3ff0-4e08-9820-5956d38a10d1
"CAPSICUM TINCTURE",54be8164-b6b4-41fa-a7c8-5956d38a10d1
"CAPSULAR POLYSACCHARIDE PURIFIED",54be816c-37d8-481a-a54c-5956d38a10d1
"CAPSULE COLOR",54be8165-7530-4251-adb7-5956d38a10d1
"CAPSULE NO.1",54be8176-2378-46de-92be-5956d38a10d1
"CAPSULE SHELL",54be8173-62ac-4ce7-9c9c-5956d38a10d1
CAPTOPRIL,54be8162-691c-4869-a6be-5956d38a10d1
"CARAMEL (SUGAR BURNT)",54be8178-ee40-471f-a1c1-5956d38a10d1
CARBACHOL,54be8164-52f0-4a6f-83e3-5956d38a10d1
CARBAMAZEPINE,54be8162-d548-4ee1-95a7-5956d38a10d1
"CARBAMOYLPHENOXY -O- ACETATE SODIUM",54be8173-7f18-464f-b740-5956d38a10d1
CARBARSONE,54be816a-4390-4393-a8a7-5956d38a10d1
CARBAZOCHROME,54be8162-9298-4c2d-a04f-5956d38a10d1
"CARBAZOCHROME (SODIUM SULFONATE)",54be8168-db8c-479c-ba5f-5956d38a10d1
"CARBAZOCHROME DIHYDRATE",54be8172-dddc-418c-ad20-5956d38a10d1
"CARBAZOCHROME MONOHYDRATE",54be816a-9258-4ab3-92a4-5956d38a10d1
"CARBAZOCHROME SODIUM SULFONATE",54be8162-7100-46df-b0b8-5956d38a10d1
"CARBENICILLIN (DISODIUM)",54be8162-40bc-40e1-82e9-5956d38a10d1
"CARBENICILLIN (SODIUM)",54be8174-c25c-4bc0-b8a8-5956d38a10d1
"CARBENICILLIN DISODIUM",54be8169-1964-4e2b-98c2-5956d38a10d1
"CARBENICILLIN SODIUM",54be8178-ceb0-4606-8e5b-5956d38a10d1
"CARBENOXOLONE SODIUM",54be8162-6bf0-4633-b0c6-5956d38a10d1
CARBETAPENTANE,54be8166-10f8-419a-bab1-5956d38a10d1
"CARBETAPENTANE CITRATE",54be8162-60dc-4d69-bb4c-5956d38a10d1
"CARBETAPENTANE CITRATE (eq to Pentoxyverine Citrate)",54cc1bee-3abc-4cfb-a4f5-729cd38a10d1
"CARBETOCIN (ANHYDROUS ACETIC ACID FREE DEFINITION)",54be8164-c4e4-4188-a429-5956d38a10d1
CARBIDOPA,54be8165-a794-4166-8c31-5956d38a10d1
"CARBIDOPA ANHYDROUS",54be8168-ccbc-4f45-9f1e-5956d38a10d1
"CARBIDOPA MONOHYDRATE",54be8167-a078-4a64-94da-5956d38a10d1
CARBIMAZOLE,54be8162-c298-4770-9c1e-5956d38a10d1
"CARBINOXAMINE MALEATE",54be8162-9408-4473-95b8-5956d38a10d1
"CARBO LIGNI POWDER",54be816c-a6a4-4444-9148-5956d38a10d1
"CARBO MED.",54be816c-c640-4229-b8aa-5956d38a10d1
"CARBOCYSTEINE (S-CARBOXYMETHYL CYSTEINE)",54be8162-5014-4111-a831-5956d38a10d1
"CARBOMER (CARBOPOL 980 NF)",54be816f-6784-4d8f-b228-5956d38a10d1
"CARBOMER (CARBOXYPOLYMETHYLENE)",54be8167-fe6c-4385-9120-5956d38a10d1
"CARBOMER 940",54be8173-1070-42f2-a234-5956d38a10d1
CARBON,54be8162-1ed8-4b21-80c6-5956d38a10d1
"CARBON ACTIVATED",54be8167-530c-44e9-bed9-5956d38a10d1
"CARBON DIOXIDE",54be8167-d334-4078-84d7-5956d38a10d1
CARBOPLATIN,54be8163-9ca8-425a-a745-5956d38a10d1
CARBOPROST(TROMETHAMINE),54be8167-0410-47a9-a48b-5956d38a10d1
CARBOQUONE,54be8166-c188-4aad-979e-5956d38a10d1
"CARBOXYMETHYLCELLULOSE SODIUM (EQ TO SODIUM CARBOXYMETHYLCELLULOSE)",54be8163-5fd4-472e-911e-5956d38a10d1
CARBUTAMIDE,54be8165-4e3c-4fda-b7cd-5956d38a10d1
CARDAMON,54be8169-8858-494a-9762-5956d38a10d1
"CARDAMON BITTER POWDER",54be8170-458c-4a92-8097-5956d38a10d1
"CARDAMON BITTER SEED POWDER",54be816b-46f4-4bf8-ba0a-5956d38a10d1
"CARDAMON SEED POWDER",54be8177-d6e4-423d-975b-5956d38a10d1
"CARDUS MARIANUS EXTRACT",54be817c-fea8-4a92-b161-5956d38a10d1
"CARDUUS MARIANUS L EXTRACT",54be8162-21e4-4f91-87ae-5956d38a10d1
"CARINDACILLIN (SODIUM)",54be8172-5e40-456c-875a-5956d38a10d1
"CARINDACILLIN SODIUM",54be817b-c63c-45f8-81e8-5956d38a10d1
CARISOPRODOL,54be8162-68e4-4b58-b033-5956d38a10d1
"CARMELLOSE (CARBOXYMETHYLCELLULOSE)",54be8169-2cf4-46ee-bb48-5956d38a10d1
"CARMELLOSE CALCIUM (ECG 505)",54be8163-c6f0-4246-8caa-5956d38a10d1
"CARMELLOSE SODIUM (CMC SOD.)(CELLULOSE GUM SOD.)",54be8163-86b8-49cd-95d7-5956d38a10d1
CARMUSTINE,54be8163-28d4-4dea-9992-5956d38a10d1
"CARNAUBA WAX",54be8165-4ef8-4702-bdf9-5956d38a10d1
CARNITINE,54be8178-2744-4dda-8043-5956d38a10d1
"CARNITINE CHLORIDE",54be8164-aa30-4e7e-97f3-5956d38a10d1
"CARNITINE DL-",54be8163-c288-4c44-b81b-5956d38a10d1
"CARNITINE DL- CHLORIDE",54be8163-e1c0-4c9a-af26-5956d38a10d1
"CARNITINE HCL",54be8169-e590-4eb8-9c7d-5956d38a10d1
"CARNITINE OROTATE",54be8174-cb6c-4896-ada8-5956d38a10d1
CAROTENE,54be8167-4040-41c9-85a2-5956d38a10d1
"CAROTENE BETA-",54be8165-1aac-4bc6-9c58-5956d38a10d1
"CARPRONIUM CHLORIDE",54be8162-3d20-4f73-938b-5956d38a10d1
"CARPRONIUM CHLORIDE MONOHYDRATE",54be817e-3890-47f1-85c7-5956d38a10d1
"CARRIER PROTEIN (DIPHTHERIA TOXOID (DT))",54be817e-de18-4bae-8d06-5956d38a10d1
"CARRIER PROTEIN (PROTEIN D (PD))",54be817e-b9c4-4c09-b7dd-5956d38a10d1
"CARRIER PROTEIN (TETANUS TOXOID (TT))",54be817e-cbbc-4704-a152-5956d38a10d1
"CARTEOLOL HCL",54be8162-e584-4aaa-a369-5956d38a10d1
CARVEDILOL,54be8162-d27c-4c88-a8a4-5956d38a10d1
"CARYOPHILLI FLORES",54be816b-6800-435f-a333-5956d38a10d1
"CARYOPHILLI FLOS POWDER",54be8163-8134-432c-b93d-5956d38a10d1
"CARYOPHILLI OIL",54be816b-0248-493e-a29f-5956d38a10d1
"CARYOPHILLIN POWDER",54be8163-6248-45fb-b12e-5956d38a10d1
CARYOPHYLLUS,54be8169-d0c0-4c8e-9fbd-5956d38a10d1
"CARYOPHYLLUS TINCTURE",54be816b-6180-4032-8a31-5956d38a10d1
"CARZENIDE SODIUM(O-BENZOIC ACID SULFINID-SODIUM)",54be816c-8c80-4358-9983-5956d38a10d1
CASANTHRANOL,54be8162-d4ac-4ddd-a487-5956d38a10d1
"CASCARA DRY EXTRACT",54be816b-4108-4442-a68d-5956d38a10d1
"CASCARA SAGRADA",54be8168-28dc-4b15-b0cd-5956d38a10d1
"CASCARA SAGRADA EXTRACT",54be8166-c2b8-48ba-b6c4-5956d38a10d1
CASEIN,54be8164-19ec-4fb3-9624-5956d38a10d1
"CASEIN CALCIUM",54be816b-24a4-4702-9f9b-5956d38a10d1
"CASEIN DISODIUM GLYCEROPHOSPHATE",54be817f-7738-4bc8-9883-5956d38a10d1
"CASEIN FORMALDEHYDE",54be8178-8fd4-4082-b1ae-5956d38a10d1
"CASEIN HCL",54be817b-50f4-44a0-89e8-5956d38a10d1
"CASPOFUNGIN ( AS ACETATE)",54be8165-86f8-4f28-ba85-5956d38a10d1
"CASSIA CINNAMON",54be8178-2490-44ec-a337-5956d38a10d1
"CASSIA LIQUID EXTRACT",54be816d-5ec8-400e-8545-5956d38a10d1
"CASSIA OIL",54be8166-d998-4aba-83a3-5956d38a10d1
"CASSIA POWDER",54be8164-f20c-4c2f-8218-5956d38a10d1
"CASSIA(CASSIA BARK)",54be8162-6cbc-4e80-919a-5956d38a10d1
"CASTOR OIL (OLEUM RICIN)(RICINUS OIL)",54be816b-62d4-455c-a918-5956d38a10d1
"CASTOR OIL HYDROGENATED POLYOXYETHYLENE ETHER",54be8175-56e4-43e8-99ed-5956d38a10d1
"CASTOR OIL POLYOXYETHYLATED",54be8169-7da4-4dcc-bcd3-5956d38a10d1
"CASTOR OIL SOAP",54be8168-c1a0-468d-aff2-5956d38a10d1
CATALASE,54be8172-2c78-426d-8d57-5956d38a10d1
"CEDAR LEAF OIL",54be817e-5104-49dc-a9d9-5956d38a10d1
"CEDAR WOOD OIL",54be8163-3468-4d74-9d9b-5956d38a10d1
CEFACLOR,54be8164-967c-4a1c-aacb-5956d38a10d1
"CEFACLOR (MONOHYDRATE)",54be8163-a1e4-4b82-b312-5956d38a10d1
"CEFACLOR MONOHYDRATE",54be816b-c12c-4764-b3b2-5956d38a10d1
CEFADROXIL,54be8162-3244-4544-81bc-5956d38a10d1
"CEFADROXIL (MONOHYDRATE)",54be8162-78b0-44af-a4c7-5956d38a10d1
"CEFADROXIL MONOHYDRATE",54be8164-d7d0-4976-836a-5956d38a10d1
CEFAMANDOLE,54be8168-5fe4-4ed4-8d71-5956d38a10d1
"CEFAMANDOLE (NAFATE)",54be8162-4e60-4813-b964-5956d38a10d1
"CEFAMANDOLE NAFATE",54be8167-4484-46f3-b7cd-5956d38a10d1
CEFATRIZINE,54be816a-5000-4398-bc9c-5956d38a10d1
"CEFATRIZINE (PROPYLENE GLYCOL)",54be8163-5598-435e-b097-5956d38a10d1
"CEFATRIZINE PROPYL GLYCOL",54be8172-7908-4c74-a64e-5956d38a10d1
"CEFAZEDONE (SODIUM)",54be8163-c468-4252-86b4-5956d38a10d1
"CEFAZOLIN (CEPHAZOLIN)",54be8166-1620-4f5e-a1da-5956d38a10d1
"CEFAZOLIN (SODIUM)",54be8162-14a8-491a-b849-5956d38a10d1
"CEFAZOLIN ACID",54be8171-9394-4d4c-b79f-5956d38a10d1
"CEFAZOLIN SODIUM",54be8162-7514-4035-9cc9-5956d38a10d1
"CEFAZOLIN SODIUM STERILE",54be8163-228c-4ca7-bc86-5956d38a10d1
"CEFEPIME (AS HYDROCHLORIDE)",54be8165-7794-491f-961d-5956d38a10d1
"CEFEPIME DIHYDROCHLORIDE MONOHYDRATE",54be8163-126c-4beb-87bc-5956d38a10d1
"CEFEPIME HCL (EQ TO CEFEPIME)",54be8177-99b4-482b-8d4e-5956d38a10d1
CEFIXIME,54be8166-52e8-4b95-9fa0-5956d38a10d1
"CEFMENOXIME (HEMIHYDROCHLORIDE)",54be8166-0514-4a1c-b418-5956d38a10d1
"CEFMENOXIME HEMIHYDROCHLORIDE",54be8170-fe34-4d05-ac32-5956d38a10d1
"CEFMENOXIME HEMIHYDROCHLORIDE STERILE (CEFMENOXIME HYDROCHLORIDE )",54be817d-212c-4148-a288-5956d38a10d1
"CEFMETAZOLE (SODIUM)",54be8162-3b04-401c-ba6c-5956d38a10d1
"CEFMETAZOLE SODIUM",54be8162-461c-4697-9fd2-5956d38a10d1
"CEFONICID DISODIUM",54be8167-b444-4e49-ab7d-5956d38a10d1
CEFOPERAZONE,54be816b-546c-4976-870c-5956d38a10d1
"CEFOPERAZONE (SODIUM)",54be8162-d1fc-4ac1-b838-5956d38a10d1
"CEFOPERAZONE SODIUM",54be8162-0c7c-493a-a06e-5956d38a10d1
"CEFOPERAZONE(AS SODIUM)STERILE",54be8169-bc60-45b8-8257-5956d38a10d1
CEFORANIDE,54be8165-08d8-4ec9-aa1a-5956d38a10d1
"CEFOTAXIME (SODIUM)",54be8162-88c4-4237-8945-5956d38a10d1
"CEFOTAXIME SODIUM",54be8162-f9c8-43df-8a53-5956d38a10d1
CEFOTETAN,54be8175-28fc-422e-9899-5956d38a10d1
"CEFOTETAN (SODIUM)",54be8166-9e94-40e8-adae-5956d38a10d1
CEFOTIAM,54be8167-3fe4-40dd-b3dc-5956d38a10d1
"CEFOTIAM (2HCL)",54be8166-79d4-48eb-9eba-5956d38a10d1
"CEFOTIAM (AS HYDROCHLORIDE BUFFERED WITH SODIUM CARBONATE)",54be8164-9168-4818-854d-5956d38a10d1
"CEFOXITIN (SODIUM)",54be8165-705c-4a35-8f07-5956d38a10d1
"CEFOXITIN SODIUM",54be8178-6ee4-4106-93db-5956d38a10d1
"CEFPIROME (SULFATE)",54be8165-1bf8-409e-a943-5956d38a10d1
"CEFPIROME SULPHATE (EQ. TO CEFPIROME)",54be816e-5a00-49bb-af5c-5956d38a10d1
"CEFPODOXIME PROXETIL",54be8172-6a40-4cac-a2eb-5956d38a10d1
"CEFPROZIL (AS MONOHYDRATE)",54be8174-6ff0-4415-ae54-5956d38a10d1
CEFRADINE-L-ARGININE,54be8177-b178-4d21-9ce9-5956d38a10d1
"CEFROXADINE (DIHYDRATE)",54be8166-6a4c-41ea-9215-5956d38a10d1
"CEFSULODIN (SODIUM)",54be8168-0ca8-4348-9d3d-5956d38a10d1
CEFTAZIDIME,54be8169-a2c8-402c-a016-5956d38a10d1
"CEFTAZIDIME (5H2O)",54be8169-f868-487f-b25b-5956d38a10d1
"CEFTAZIDIME 5H2O",54be8174-c05c-4afb-adb1-5956d38a10d1
CEFTIBUTEN,54be8177-46b4-4cd5-82ae-5956d38a10d1
"CEFTIZOXIME (SODIUM)",54be8163-0f98-4a66-ace4-5956d38a10d1
"CEFTIZOXIME SODIUM",54be8163-e824-450c-8ed4-5956d38a10d1
"CEFTRIAXONE (DISODIUM 3.5H2O)",54be8162-c444-41d5-a4f9-5956d38a10d1
"CEFTRIAXONE (DISODIUM)",54be8165-a988-4541-a57e-5956d38a10d1
"CEFTRIAXONE SODIUM",54be8163-d80c-41a0-b461-5956d38a10d1
CEFUROXIME,54be8166-d3c4-4570-a9b8-5956d38a10d1
"CEFUROXIME (AXETIL)",54be8163-6344-4b08-ab46-5956d38a10d1
"CEFUROXIME (SODIUM)",54be8166-5040-4da4-8fc4-5956d38a10d1
"CEFUROXIME AXETIL",54be8169-5ef4-4bc5-9cc0-5956d38a10d1
"CEFUROXIME SODIUM",54be8163-d58c-428f-b56a-5956d38a10d1
CELECOXIB,54be8163-ce08-4c18-908d-5956d38a10d1
CELLASE,54be816c-a87c-4edd-9df6-5956d38a10d1
CELLULASE,54be8163-47d8-402d-8236-5956d38a10d1
"CELLULOLYTIC ENZYME",54be8165-b4b8-432b-87a1-5956d38a10d1
CELLULOSE,54be8165-ba9c-4328-9fc2-5956d38a10d1
"CELLULOSE ACETATE",54be816d-53ac-4707-a37b-5956d38a10d1
"CELLULOSE ACETATE PHTHALATE (CELLACEPHATE)",54be8165-01a0-4031-aacf-5956d38a10d1
"CELLULOSE CRYSTALLINE (eq to CRYSTALLINE CELLULOSE)",54be8167-7060-4bb8-9ab0-5956d38a10d1
"CELLULOSE DECOMPOSING ENZYME",54be8169-5f00-4226-8237-5956d38a10d1
"CELLULOSE FIBROUS",54be8165-5918-4da9-a4a9-5956d38a10d1
"CELLULOSE MICRO",54be816c-b80c-4c34-baf0-5956d38a10d1
"CELLULOSE MICROCRYSTALLINE (MICROCRYSTALLINE CELLULOSE)",54be8165-53f0-4317-8ef2-5956d38a10d1
"CELLULOSE SPECIAL GRADE",54be8169-f290-439d-8eac-5956d38a10d1
"CELLULOSE WOOD",54be8177-b970-4999-9135-5956d38a10d1
CELLULOSIN,54be817c-499c-4be6-b2d5-5956d38a10d1
"CELLULOSINE AP",54be8165-8348-4a10-8591-5956d38a10d1
"CENTELLA ASIATICA",54be8166-9d08-4cd0-85ef-5956d38a10d1
"CENTELLA ASIATICA PURIFIED EXTRACT",54be8165-ad08-4827-a778-5956d38a10d1
"CENTELLA ASIATICA TITRATED EXTRACT",54be8166-94ac-423a-ad77-5956d38a10d1
"CEPHACETRILE SODIUM",54be8166-67ac-4cc3-bb62-5956d38a10d1
CEPHALEXIN,54be8162-491c-4fd5-8ff8-5956d38a10d1
"CEPHALEXIN (MONOHYDRATE)",54be8162-3530-40a7-89dd-5956d38a10d1
"CEPHALEXIN (SODIUM)",54be8175-6a8c-4e1e-9568-5956d38a10d1
"CEPHALEXIN ANHYDROUS",54be8169-ebd4-4156-850e-5956d38a10d1
"CEPHALEXIN MONOHYDRATE",54be8163-40f8-4b28-a7b1-5956d38a10d1
"CEPHALEXIN SODIUM",54be8169-ff04-4fc8-ae08-5956d38a10d1
CEPHALORIDINE,54be8162-5858-49d5-a018-5956d38a10d1
"CEPHALOTHIN (SODIUM)",54be8163-f538-4cf5-9285-5956d38a10d1
"CEPHALOTHIN SODIUM",54be8163-8f0c-4a23-a20a-5956d38a10d1
"CEPHAPIRIN (SODIUM)",54be8162-7a1c-488c-9aba-5956d38a10d1
"CEPHAPIRIN SODIUM",54be8167-0864-4775-b634-5956d38a10d1
CEPHARANTIN,54be8177-556c-4e30-a2c3-5956d38a10d1
CEPHRADINE,54be8164-a4cc-49d3-8a3a-5956d38a10d1
"CEPHRADINE (AS MIXTURE OF CEPHRADINE AND ARGININE)",54be817c-e884-4778-a85c-5956d38a10d1
"CEPHRADINE (MONOHYDRATE)",54be8163-8c9c-4667-8c18-5956d38a10d1
"CEPHRADINE ARGININE",54be817a-d7f8-408b-a4f7-5956d38a10d1
"CEPHRADINE FOR INJECTION",54be817b-ff64-4e56-b29d-5956d38a10d1
"CEPHRADINE MONOHYDRATE",54be8163-bb80-4f4c-9c7a-5956d38a10d1
"CEPHRADINE STERILE BUFFERED",54be8167-4200-4b4a-95c7-5956d38a10d1
"CEREBRI EXTRATE",54be8177-db24-44d5-8017-5956d38a10d1
"CEREBROLYSIN CONCENTRATE",54be8167-086c-4ac2-aca1-5956d38a10d1
"CERIUM NITRATE 6H2O",54be8167-69e0-47b2-ad8a-5956d38a10d1
"CERIUM OXALATE",54be8163-d134-4b52-a659-5956d38a10d1
"CERNITIN T60",54be8166-9580-4d4c-a58b-5956d38a10d1
CERNITIN-GBX,54be8166-a7dc-424b-9566-5956d38a10d1
"CEROUS OXALATE",54be8169-49bc-42a4-9ed6-5956d38a10d1
"CERULETIDE DIETHYLAMINE",54be8166-8c00-4aec-98ae-5956d38a10d1
"CERVI CORNU",54be8176-1a94-46c7-bb57-5956d38a10d1
"CERVUS SIKA",54be817f-f234-40b9-9930-5956d38a10d1
"CETALKONIUM CHLORIDE",54be8166-a760-4a75-a4ee-5956d38a10d1
"CETILPIRIDINIUM CHLORIDE",54be817a-b0a0-41a3-8ab5-5956d38a10d1
"CETIRIZINE DIHYDROCHLORIDE (EQ TO CETIRIZINE 2HCL )",54be8164-76d8-4553-8330-5956d38a10d1
"CETIRIZINE HYDROCHLORIDE",54be8173-19d4-49a6-bac0-5956d38a10d1
"CETOMACROGOL EMULSIFYING WAX",54be817e-c14c-47c4-aa39-5956d38a10d1
CETOTIAMINE,54be816a-146c-4c4b-8770-5956d38a10d1
"CETRAXATE HCL",54be8164-d134-45ba-81cb-5956d38a10d1
CETRIMIDE,54be8162-b6cc-4cd2-8ae4-5956d38a10d1
"CETRIMIDE SOLUTION 40%",54be8166-35a4-4b8f-9ad3-5956d38a10d1
CETRIMONIUM,54be817a-84a8-4ecb-b4f7-5956d38a10d1
"CETRIMONIUM BROMIDE",54be8178-ee4c-41ab-b734-5956d38a10d1
"CETRIMONIUM CHLORIDE",54be8174-4940-4a9e-a586-5956d38a10d1
"CETRIMONIUM PENTACHLOROPHENOXIDE",54be8165-f6f0-4be0-a8c1-5956d38a10d1
"CETRORELIX ACETATE",54be816d-43b8-4c31-81a5-5956d38a10d1
