機構名稱,機構電話,機構地址
金翎牙醫診所,223639896,臺北市大安區師大路１２１號
倫泰牙醫診所,223221867,臺北市大安區金華街２１５號
翔麟牙醫診所,223639370,臺北市大安區羅斯福路三段二四一號二樓二樓之一
聖心牙醫診所,227312751,臺北市大安區延吉街１４０號２樓
偉靈牙醫診所,227516488,臺北市大安區忠孝東路四段２１６巷４４號４樓
建豐牙醫診所,223632917,臺北市大安區雲和街７６－１號
泰福牙醫診所,223630318,臺北市大安區泰順街６０巷8號3樓
宗翰牙醫診所,227332059,臺北市大安區富陽街１０４號
上鵬牙醫診所,223622558,臺北市大安區羅斯福路三段１４９號２樓－２
新象牙醫診所,227086420,臺北市大安區和平東路二段１１１號２樓
榮愛牙醫診所,227210037,臺北市大安區延吉街１０９號
陳惠林牙醫診所,223636291,臺北市大安區羅斯福路三段２７３號６樓Ａ室
愛育牙醫診所,227059704,臺北市大安區復興南路2段193巷7號
鄧國華牙醫診所,227016512,臺北市大安區仁愛路四段222巷１1號
元華牙醫診所,227813010,臺北市大安區復興南路一段１３５巷１７號２樓之１
萬代福牙醫診所,227211639,臺北市大安區敦化南路一段２７０巷１２－１號
白宮牙醫診所,227511990,臺北市大安區忠孝東路四段２１６巷１１弄４號２Ｆ
廣大牙醫診所,227314872,臺北市大安區復興南路一段１３３號２樓
杏和牙醫診所,227528028,臺北市大安區延吉街１６２號２樓
正品牙醫診所,227417394,臺北市大安區信義路四段２６５巷３－２號
華仁牙醫診所,227112815,臺北市大安區忠孝東路3段259號1-2樓
欣欣牙醫診所,223630038,臺北市大安區和平東路一段１９８號２樓
璟德牙醫診所,223255180,臺北市大安區大安路一段２０６巷１６號１樓
中仁牙醫診所,227066918,臺北市大安區通化街３８巷１０－２號１Ｆ
立大牙醫診所,227215491,臺北市大安區忠孝東路三段２５１巷４弄１０號
三普牙醫診所,227383398,臺北市大安區臨江街一六二號
偉明牙醫診所,227516768,臺北市大安區大安路一段１４１號
大勝牙醫診所,227360911,臺北市大安區復興南路二段３２０號
復光牙醫診所,227066482,臺北市大安區仁愛路四段３９０號２樓
名人牙醫診所,223628691,臺北市大安區和平東路一段２００號２樓
名流牙醫診所,227760577,臺北市大安區仁愛路四段１３７號２樓
偉成牙醫診所,227370277,臺北市大安區安和路二段１７５號一樓
宗聖牙醫診所,227086823,臺北市大安區復興南路二段１５１巷８－１號
國安牙醫診所,227045858,臺北市大安區信義路四段179號、181號2樓、187號2樓
欣民牙醫診所,227085344,臺北市大安區安和路一段１３５巷１８號
司鉑診所,27723114,臺北市大安區忠孝東路4段128號12樓
奧拉克診所,27789580,臺北市大安區忠孝東路4段15號6樓之1
教主整形外科診所,23682000,臺北市大安區和平東路一段6號5樓、5樓之1、5樓之2
環球診所,33937178,臺北市大安區信義路二段184號4樓
大仁診所,87710778,臺北市大安區忠孝東路四段153號2樓
美式診所,27213069,臺北市大安區敦化南路1段270巷34號1樓及地下1樓
晴天身心精神科診所,02-87716545,臺北市大安區仁愛路4段151巷21號3樓
群佳儷診所,27557300,臺北市大安區復興南路2段237號3樓
緻美診所,27719038,臺北市大安區忠孝東路四段67之2號
凡登整形外科診所,27038858,臺北市大安區信義路三段149號3樓、149號3樓之1
聖宜診所,87725021,臺北市大安區忠孝東路四段126之24號(12樓)
全新大安診所,27526063,臺北市大安區大安路一段101巷10號4樓
愛美時尚診所,,臺北市大安區羅斯福路三段241號12樓及12樓之1
京典麗緻診所,27786565,臺北市大安區忠孝東路四段1號5樓
伊美診所,,臺北市大安區樂利路20號2樓
奧美醫美診所,27116168,臺北市大安區復興南路一段200號4樓
激光診所,27318119,臺北市大安區復興南路1段126巷1號6樓之2
晶晏時尚診所,02-87713068,臺北市大安區忠孝東路4段67之3號4樓
美之約醫美診所,02-27751770,臺北市大安區忠孝東路4段60號12樓之2
忠孝悠美診所,27118583,臺北市大安區忠孝東路4段15號2樓之3
富霖診所,27392029,臺北市大安區敦化南路2段333、335號4樓
敦平診所,27392029,臺北市大安區敦化南路2段333、335號3樓
美麗漾診所,87726775,臺北市大安區忠孝東路4段124之2號（3樓）
童話時尚診所,27555888,臺北市大安區信義路4段98號、98之1號
敦化麗思醫美診所,02-27781732,臺北市大安區忠孝東路4段177號4樓
首都亞立山大時尚整形外科診所,02-27526227,臺北市大安區忠孝東路4段107號11樓之1
采欣醫美診所,,臺北市大安區忠孝東路4段15號9樓之4
敦南英爵醫美診所,27312310,臺北市大安區敦化南路1段236巷20號
春暘診所,27019586,臺北市大安區敦化南路2段46號16樓
君綺忠孝診所,27313808,臺北市大安區忠孝東路4段30號6樓、7樓
健華診所,27072990,臺北市大安區和平東路2段255號、257號4樓
松德診所,27073366,臺北市大安區四維路170巷16號
夏爾診所,02-2325-5508,臺北市大安區信義路4段265巷54號
泰順診所,23698822,臺北市大安區泰順街15號
柏丹生活診所,87721872,臺北市大安區忠孝東路4段126之18號6樓
榮新診所,23623258,臺北市大安區建國南路2段276號8樓、9樓
雅丰美膚診所,02-87735306,臺北市大安區忠孝東路四段220號4樓、222號4樓
主愛心靈診所,23651224,臺北市大安區羅斯福路3段283巷14弄6號
大元診所,02-27212367,臺北市大安區仁愛路4段151巷19號2樓
年年診所,27002087,臺北市大安區敦化南路1段362號7樓
優活麗診所,27848658,臺北市大安區復興南路1段259號2樓之1
米羅美漾診所,27008855,臺北市大安區復興南路1段323號4樓
羅丹診所,02-27318037,臺北市大安區忠孝東路4段312號12樓、12樓之1、12樓之2、12樓之3、12樓之4
尚凌醫美診所,27113711,臺北市大安區忠孝東路3段257號3樓
夏爾耳鼻喉科診所,02-2325-5508,臺北市大安區信義路4段265巷54號
君綺大安診所,27311423,臺北市大安區忠孝東路4段30號3樓、4樓、5樓
敦南愛爾麗診所,27725515,臺北市大安區忠孝東路4段132號3樓、134號3樓
微媞時尚診所,02-27219663,臺北市大安區忠孝東路4段250號2樓及2樓之6
王修含皮膚科診所,27812100,臺北市大安區忠孝東路四段333號4樓
立?診所,27075826,臺北市大安區建國南路二段151巷52號
忠孝美麗爾診所,6636-3516,臺北市大安區敦化南路1段216號6樓
巴黎雅醫美診所,27785111,臺北市大安區忠孝東路四段155號3樓
忠孝雅美姬時尚診所,27117080,臺北市大安區忠孝東路四段191號8樓
雅丰麗緻診所,02-87735308,臺北市大安區忠孝東路四段220號4樓、222號4樓
麗質添生整形外科診所,27000978,臺北市大安區新生南路一段165巷41號、41之1號
艾萊克時尚診所,02-27522252,臺北市大安區忠孝東路4段162號8樓之1
葳亞娜診所,87725990,臺北市大安區復興南路一段128號
嘉仕美整形外科診所,02-27310909,臺北市大安區忠孝東路4段230號2樓
生髮診所,27781000,臺北市大安區忠孝東路四段67之5號69之5號
何政道耳鼻喉科診所,23250010,臺北市大安區復興南路二段148巷46號
丰雅時尚診所,27517700,臺北市大安區忠孝東路四段221號11樓
順風時尚醫美診所,87739055,臺北市大安區忠孝東路4段50號3樓
唯美風時尚診所,27007099,臺北市大安區信義路4段1號5樓之1
美加仁愛醫美診所,55886889,臺北市大安區復興南路1段227號4樓
明錦整形外科診所,27727128,臺北市大安區忠孝東路4段128號3樓
人安診所,23681111,臺北市大安區羅斯福路三段61號2樓
旭彤診所,27216819,臺北市大安區大安路1段101巷10號5樓
柏齡苑診所,02-27059595,臺北市大安區敦化南路二段46號4樓
光美妍醫美診所,02-27718060,臺北市大安區忠孝東路4段218之5號2樓
忠孝淨妍診所,02-27315245,臺北市大安區忠孝東路4段212號4樓之1
尼斯診所,27712220,臺北市大安區忠孝東路4段1號9樓
安諾診所,02-77115566,臺北市大安區忠孝東路4段176之1號6樓
富儷整合醫學診所,27717608,臺北市大安區忠孝東路4段134號9樓
適群復健科診所,66082888,臺北市大安區四維路198巷32號、32之1號、34號、36號
維格診所,02-27755026,臺北市大安區光復南路180巷4號2樓、6號2樓
樂活診所,23513171,臺北市大安區金山南路二段218號
李宜霖診所,02-27521557,臺北市大安區光復南路180巷2號2樓
北電診所,23653171,臺北市大安區和平東路一段76號
嘉仕萌診所,02-27315909,臺北市大安區忠孝東路4段230號5樓
時尚元素診所,27774606,臺北市大安區仁愛路4段31號8樓
安婕診所,27715989,臺北市大安區忠孝東路三段247之1號3樓
維昕時尚診所,87716966,臺北市大安區復興南路1段137號4樓之7及6樓之8
膚適美診所,27782883,臺北市大安區忠孝東路4段76號6樓之4、8樓之4
群英整形外科診所,27729880,臺北市大安區安和路1段29號4樓
夢工場診所,27119998,臺北市大安區忠孝東路3段243號8樓
杏誠復健科診所,27061732,臺北市大安區信義路4段173號2樓  
博安家庭醫學科診所,23567066,臺北市大安區麗水街3號
安東診所,27050066,臺北市大安區和平東路2段165號
楊氏診所,27763008,臺北市大安區光復南路280巷24號 3、4、5樓
輕鬆美膚皮膚科診所,23682223,臺北市大安區羅斯福路3段301號3樓
鼎心診所,23279188,臺北市大安區新生南路2段2號2樓之5
佳美診所,27511133,臺北市大安區忠孝東路4段341號8樓之4
愛玩美診所,27077686,臺北市大安區復興南路1段321號2樓
全衡診所,27713992,臺北市大安區敦化南路1段216號9樓
紐約整形外科診所,27726268,臺北市大安區敦化南路1段219號2樓
夏葳儀診所,27319086,臺北市大安區忠孝東路3段243號3樓
王品診所,27788356,臺北市大安區敦化南路1段184號6樓
群維診所,27216979,臺北市大安區忠孝東路3段88號2樓、2樓之1
大安?眼明眼科診所,27781988,臺北市大安區復興南路1段103號2樓之1
田嘉程診所,27018262,臺北市大安區延吉街239號
雅美姬時尚診所,02-27116690,臺北市大安區光復南路260巷23號2樓
昕彤診所,02-27720341,臺北市大安區大安路1段65號3樓
陳峙仰診所,,臺北市大安區敦化南路1段376號4樓之1
華特診所,27271920,臺北市大安區忠孝東路4段341號5樓之1
瀚群骨科診所,87736903,臺北市大安區復興南路1段227號1樓及地下1樓
王群光自然診所,23671086,臺北市大安區羅斯福路3段271號10樓
芙蕾亞時尚診所,87732823,臺北市大安區復興南路1段70號3樓之1
超美診所,27781100,臺北市大安區忠孝東路4段178號9樓
諾美整形外科診所,27117999,臺北市大安區忠孝東路4段1號3樓
那明珠診所,27360589,臺北市大安區和平東路3段8號
百康診所,27116362,臺北市大安區忠孝東路4段333號8樓之3
安禾眼科診所,27052277,臺北市大安區信義路4段151號2樓之2
伊容診所,2711-2250,臺北市大安區忠孝東路4段55號9樓
水漾美診所,27219797,臺北市大安區忠孝東路3段249之1號7樓
捷靚皮膚專科診所,27076606,臺北市大安區信義路4段45號3樓之3
養齡診所,27781383,臺北市大安區仁愛路3段125號12樓
八千代診所,27781665/27215700,臺北市大安區大安路1段101巷10號3樓
台北亞緻診所,27067585,臺北市大安區仁愛路4段2號6樓
韓風整形外科診所,27509393,臺北市大安區復興南路1段156號4樓、158號4樓、160號4樓、162號4樓
昱捷診所,27002709,臺北市大安區信義路3段202號9樓之1、9樓之2、9樓之3
君凌診所,27737222,臺北市大安區忠孝東路3段251巷4弄6號
米洛斯整形外科診所,27000164,臺北市大安區復興南路1段323號6樓
北秀醫美整形外科診所,66131313,臺北市大安區忠孝東路4段212號5樓
安整形外科診所,77099399,臺北市大安區安和路1段113號2樓之1
利欣診所,2731-7133,臺北市大安區仁愛路4段33號2樓之1
哈曼整合醫學診所,27721663,臺北市大安區忠孝東路4段341號11樓之1
維納斯時尚診所,23212278,臺北市大安區金山南路二段3號3樓
邱醫師診所,02-27392696,臺北市大安區和平東路3段288號
星采整形外科診所,27017600,臺北市大安區復興南路2段27號2樓、27號2樓（之1 、之2、之3、之4、之9、之10、之11、之12、之13、之14、之15、之16、之17、之18、之19、之20、之21、之22、之23、之24、之25、之26、之27、之28、之31）
小林醫師診所,27218883,臺北市大安區敦化南路1段225號地下二層之19
康美診所,27006989,臺北市大安區復興南路2段35號3樓之2
麗新整形外科診所,27524829,臺北市大安區忠孝東路4段130號3樓
陳詩明醫師診所,27316530,臺北市大安區忠孝東路4段126之3號
亞瑞士醫美診所,02-27319636,臺北市大安區忠孝東路4段231號3樓
愛家自然診所,27024815,臺北市大安區信義路3段158號2樓
敦化美麗爾診所,27402959,臺北市大安區敦化南路1段216號8樓
亞洲風尚診所,27733838,臺北市大安區大安路1段31巷17號
九安診所,27082968,臺北市大安區敦化南路1段259號10樓
貝爾雅醫美診所,66386688,臺北市大安區復興南路1段222號5樓
聖侯診所,27350220,臺北市大安區樂業街139號
宇寧身心診所,27080706,臺北市大安區復興南路2段6號3樓
黃文香兒科診所,27313305,臺北市大安區忠孝東路4段250號2樓之1
艾瑪診所,87734318,臺北市大安區忠孝東路4段73之21號〈9樓〉
美安診所,27360725,臺北市大安區和平東路3段76號2樓
杏立博全診所,27722138,臺北市大安區光復南路318號、318號2樓、318號3樓之2
沈德昌診所,227035300,臺北市大安區四維路１８９號１樓
優德診所,227219923,臺北市大安區延吉街１５３－２號５樓
安法診所,223250505,臺北市大安區敦化南路二段９７號２７樓
謝林診所,227066266,臺北市大安區大安路二段21號
簡萬居耳鼻喉科診所,223680279,臺北市大安區辛亥路一段２８號
陳柏豪耳鼻喉科診所,223625458,臺北市大安區和平東路一段１０號
蔡文苑耳鼻喉科診所,227751912,臺北市大安區忠孝東路三段１９９號
王暉政眼科診所,223629033,臺北市大安區師大路１１０號１Ｆ
仁安診所,227065995,臺北市大安區和平東路二段一七五巷三十四號一樓
實美整形外科診所,227542000,臺北市大安區信義路四段６３號１樓
萬通耳鼻喉科診所,227518909,臺北市大安區延吉街６４－２號１樓
誠品診所,227556012,臺北市大安區敦化南路一段３１７號
佳音診所,227054430,臺北市大安區復興南路一段２６１之３號１樓
蔡博庸整形外科診所,227713797,臺北市大安區忠孝東路四段２３１號７樓之１
柏生聯合診所,27772079,臺北市大安區仁愛路四段１３７號２樓之１
同心婦產科診所,27010020,臺北市大安區東豐街２６號
新長安診所,223775016,臺北市大安區和平東路三段２２８巷３９號
復髮診所,227525511,臺北市大安區大安路一段７３號１０樓
陳瑞鵬婦產科診所,227541639,臺北市大安區信義路四段１７７號２樓
啟安診所,27713369,臺北市大安區忠孝東路3段239號2樓
李唯通診所,23773506,臺北市大安區安居街十九號
安居診所,27324000,臺北市大安區和平東路3段252號
名人整形外科診所,27053899,臺北市大安區復興南路一段二四三號三樓之一
陳俊松診所,27373227,臺北市大安區通化街八十八號一樓
梁偉中整形外科診所,227716660,臺北市大安區忠孝東路四段一二四之四號五樓
人康診所,227418080,臺北市大安區光復南路二四０巷二三號五樓
延吉診所,27035082,臺北市大安區延吉街二四一巷二弄五號一樓
東西診所,27060216,臺北市大安區敦化南路1段259號2樓
新圓山診所,27218056,臺北市大安區忠孝東路四段六十九之四號五樓
祥光診所,27313379,臺北市大安區忠孝東路三段八十六號十一樓之一
晨曦生活診所,27525677,臺北市大安區復興南路一段135巷27號2樓之1
杏心診所,23278799,臺北市大安區金山南路二段218號5樓
日月星診所,02-27791508,臺北市大安區仁愛路四段137號8樓之1
電眼美人診所,27889600,臺北市大安區忠孝東路三段239號3樓
微整形外科診所,27714088,臺北市大安區忠孝東路四段2號7樓之8
佳醫美人診所,27086333,臺北市大安區仁愛路四段66號2樓
泛美診所,27713375,臺北市大安區忠孝東路四段289號5樓之7
康婕婦產科診所,27036718,臺北市大安區光復南路240巷23號2樓
永誠復健科診所,27071608,臺北市大安區復興南路二段236號2樓
新慶生診所,87710288,臺北市大安區仁愛路四段151巷36號2樓之1
優美診所,23221719,臺北市大安區新生南路二段2號7樓之5
潤弘診所,23690211,臺北市大安區建國南路二段276號3樓
敦南心診所,27331995,臺北市大安區樂利路109號
許醫師復健科診所,27520752,臺北市大安區忠孝東路三段217巷4弄8號1樓
陳偉寶泌尿科診所,27050529,臺北市大安區復興南路一段249號2樓
劉建宏診所,02-2700-2368,臺北市大安區大安路二段139號
金郁婦產科診所,87716117,臺北市大安區忠孝東路四段177號7樓之4
星星親子眼科診所,27080809,臺北市大安區信義路三段114號2樓
榮主診所,27116512,臺北市大安區光復南路280巷23號3樓
忠孝世賓婦產科診所,27116500,臺北市大安區忠孝東路四段176號4樓
聯合整形外科診所,23942333,臺北市大安區新生南路二段8號2樓
楷鈞診所,27091188,臺北市大安區復興南路2段82號2樓
永悅診所,27110750,臺北市大安區忠孝東路四段50號7樓
名媛診所,,臺北市大安區忠孝東路四段333號7樓
春天診所,27007798,臺北市大安區信義路四段184號3樓
里約診所,27787221,臺北市大安區忠孝東路3段249之1號2樓
安吉耳鼻喉科診所,27385008,臺北市大安區和平東路三段226號
薇娜時尚美學診所,87715328,臺北市大安區忠孝東路4段53之2號
佳利安診所,27219099,臺北市大安區忠孝東路4段218號13樓C棟
安仁診所,87733676,臺北市大安區安和路1段29號6樓
許靜瑛小兒科診所,23629088,臺北市大安區和平東路1段230號1樓
莊國豐婦產科診所,23688206,臺北市大安區和平東路1段8號2樓
奐采美診所,87718833,臺北市大安區忠孝東路4段50號5樓
愛爾麗診所,27402338,臺北市大安區忠孝東路3段305號4樓、6樓
林慧雯婦產科診所,27117111,臺北市大安區忠孝東路4段210之1號2樓
祥欽診所,27817274,臺北市大安區忠孝東路3段217巷5弄5號
哈利路亞曾英欽診所,227115573,臺北市大安區仁愛路3段29號地下室
全家聯合診所,227067575,臺北市大安區和平東路二段３５３號
藝林整形外科診所,27712883,臺北市大安區復興南路一段204號3樓
光能身心診所,27214322,臺北市大安區忠孝東路四段15號8樓
亞立山大時尚整形診所,27529018,臺北市大安區忠孝東路4段107號3樓之1
台北仁悅皮膚科診所,27721179,臺北市大安區忠孝東路四段333號3樓
天美安和診所,27021889,臺北市大安區安和路一段77號1樓
國際整形外科診所,27786148,臺北市大安區忠孝東路4段166號7樓之3
安麗整形外科診所,8772-2366,臺北市大安區復興南路1段215號6樓
敦南諾貝爾眼科診所,27400960,臺北市大安區敦化南路1段216號3樓
欣美精神科診所,23253218,臺北市大安區復興南路一段３４２號２樓之５
李婦產科診所（枝盈婦幼聯合門診）,23218879,臺北市大安區金山南路二段３１巷９號
陳啟章小兒科診所（枝盈婦幼聯合門診）,23416875,臺北市大安區金山南路二段３１巷９號
經典整形外科診所,287736600,臺北市大安區忠孝東路四段９４之５號６樓
皇家診所,23691450,臺北市大安區羅斯福路三段２２７號１０樓
劉賢平婦產科診所,227216133,臺北市大安區延吉街１７５號２樓
景德耳鼻喉科診所,227091363,臺北市大安區和平東路二段１９１號
誼安診所,87730081,臺北市大安區仁愛路四段二五號三A
黃清浩耳鼻喉科診所,227085413,臺北市大安區光復南路430號
忠孝大學眼科診所,27407890,臺北市大安區忠孝東路四段七十六號二樓
藝術家整形外科診所,87739790,臺北市大安區忠孝東路四段71-2號3樓 、 73-2號3樓
呂小兒科診所,27000708,臺北市大安區通化街二十四巷六號一樓
博德眼科診所,23560426,"臺北市大安區和平東路一段29號1F,2F"
陳惠章婦產科家庭醫學科診所,83695026,臺北市大安區羅斯福路三段二六一號二樓
黃崇禮皮膚科診所,27053055,臺北市大安區信義路三段192-1號3樓
秋江外科診所,23211793,臺北市大安區信義路二段一七八號二樓
洪醫師診所,27713737.28,臺北市大安區忠孝東路三段二一七巷二弄六號一樓
麗晶整形外科診所,27314008,臺北市大安區忠孝東路四段2號12樓、12樓之2
窈窕診所,27096458,臺北市大安區復興南路二段八號二樓
適健復健科診所,87717039,臺北市大安區忠孝東路4段166號8樓、9樓
大安整形外科診所,27519557,臺北市大安區忠孝東路四段一一二號九樓之六
家安復健科診所,27353710,臺北市大安區敦化南路二段一六八及一七0號地下一樓
忠孝利欣診所,227317133,臺北市大安區大安路一段84巷2號3樓4樓
于賓診所,27215996,臺北市大安區忠孝東路3段305號7樓之4、5、6
綺顏診所,27773636,臺北市大安區仁愛路四段一0九號二樓B室
蘇仁和耳鼻喉科診所,27410843,臺北市大安區安和路一段十一號四樓之一
游鴻儒皮膚科診所,87719911,臺北市大安區仁愛路四段一五一巷三六號二樓
薇妮斯整形外科診所,27523008,臺北市大安區忠孝東路四段一二O之一二號十二樓
晶華眼科診所,23788288,臺北市大安區和平東路三段122號1樓及基隆路2段190號2樓之2
柯嘉音小兒科診所,27080337,臺北市大安區安和路一段127巷12號
儷人整形外科診所,27775317,臺北市大安區忠孝東路四段六十號五樓之一
大正眼科診所,02-23656363,臺北市大安區和平東路一段二五八號一樓
蔡瑞芳眼科診所,33938088,臺北市大安區和平東路一段一一七號一樓
尖端診所,23789734,臺北市大安區敦化南路二段一六八號十一樓
滿意婦產科診所,23659191,臺北市大安區羅斯福路三段二七一號三樓及三樓之一
和平大愛眼科診所,23652727,臺北市大安區和平東路一段六號二樓
幸福婦產科診所,27762222,臺北市大安區忠孝東路四段一二八號四樓及五樓
非凡皮膚科診所,27511088  27214808,臺北市大安區忠孝東路四段一六六號三樓之三
宜德復健科診所,27356266,臺北市大安區和平東路三段二一0號
杏語心靈診所,27211526,臺北市大安區敦化南路一段二OO號一二O六室
漂亮整形外科診所,28778383,臺北市大安區仁愛路四段三四五巷四弄二十六號一樓
華漾皮膚專科診所,33222211,臺北市大安區金華街二四九號
鍾啟榮皮膚科診所,27716767,臺北市大安區敦化南路一段二OO號三樓之一
曾皮膚科診所,33222386,臺北市大安區信義路二段三十八號一樓
柏松外科診所,02-27005014,臺北市大安區大安路一段二0六巷八號一樓
優名整形外科診所,87737030,臺北市大安區忠孝東路四段二一六巷三十二弄二十號三樓
琳安診所,27084300,臺北市大安區敦化南路二段一二八號二樓之一
曾醫師診所,27092633,臺北市大安區延吉街二三三巷九號五樓
張國麟耳鼻喉科診所,27338386,臺北市大安區和平東路三段一四七號一樓
極緻皮膚科診所,27500066,臺北市大安區忠孝東路四段一二八號六樓
大安春暉診所,27001399,臺北市大安區大安路一段一八O號二樓
詹耳鼻喉科診所,23969521,臺北市大安區永康街六巷十六號二樓
許世賓婦產科診所,33932211,臺北市大安區和平東路一段169號2、4樓，171號2樓
長松眼科診所,27402102,臺北市大安區大安路一段一二六巷一號
周大中婦產科診所,27552757,臺北市大安區敦化南路二段四十六號二樓
視保眼科診所,27071765,臺北市大安區敦化南路2段5號3樓之1、2、3
世紀丰采整形外科診所,23671831,臺北市大安區羅斯福路三段一九一號八樓
慈民骨科診所,27069888,臺北市大安區延吉街233巷2號
盧靜怡皮膚專科診所,02-27512066,臺北市大安區光復南路288號2樓之5
知美整形外科診所,27769306,臺北市大安區敦化南路一段一七九號二樓
宜康內科診所,23510766,臺北市大安區永康街13巷8號
麗水皮膚專科診所,,臺北市大安區金山南路二段3號5樓、6樓
大安耳鼻喉科診所,02-27005855,臺北市大安區復興南路二段163號
玉貴人整形外科診所,27051000,臺北市大安區四維路6巷2號3樓之1
信恩整形外科診所,223932388,臺北市大安區信義路二段７２號４樓
張少萌婦產科診所,227000101,臺北市大安區信義路四段１９９巷２號４樓之１之２
劉耳鼻喉科診所,27546060,臺北市大安區復興南路二段１５１巷２７號
曹眼科診所,227056576,臺北市大安區和平東路二段２６９號２樓
孫診所,223623005,臺北市大安區師大路１２６巷２２號
忠孝眼科診所,227815800,臺北市大安區忠孝東路四段１１２號６樓－７
陳永權耳鼻喉科診所,227010212,臺北市大安區通化街２４巷４號
董曉青眼科診所,227383591,臺北市大安區臨江街１６４號２樓
大安黃耳鼻喉科診所,227327331,臺北市大安區和平東路三段２３4號
陳媚音眼科診所,227529572,臺北市大安區延吉街１７９號３樓
黃禎祥診所,223626607,臺北市大安區師大路７１號
林當淳內兒科診所,227090191,臺北市大安區通化街３８巷７號
陳秀鳳婦產科診所,227050661,臺北市大安區和平東路二段１９１號２樓
向安婦產科外科診所,223952633,臺北市大安區和平東路一段１９７號
大安林內科診所,227083703,臺北市大安區敦化南路一段３２１號５樓
新鑫耳鼻喉科診所,223621201,臺北市大安區師大路１０５巷１３號１樓
陳志明診所,227549558,臺北市大安區和平東路二段３３７號
蔡國仁內兒科診所,227511916,臺北市大安區忠孝東路三段２１７巷４弄２１號
詹骨科診所,227078046,臺北市大安區信義路四段５３巷６號
詹內科診所,223928283,臺北市大安區和平東路一段７７－２號
吳坤光婦產科診所,227059320,臺北市大安區信義路四段５９號
楊懷卿耳鼻喉科診所,227214882,臺北市大安區光復南路３０８巷５５號
劉達昌眼科診所,227323792,臺北市大安區和平東路三段２３８號
正明診所,223259210,臺北市大安區四維路７６巷９號１樓
李治華整形外科診所,227727975,臺北市大安區仁愛路四段７９號７樓－１
林青穀家庭醫學科診所,227317557,臺北市大安區大安路一段２－１號
李台生皮膚科診所,02 27521472,臺北市大安區敦化南路一段二一八號五樓
博全婦產科診所,227774437,臺北市大安區大安路一段１８號
鄭耳鼻喉科診所,227036670,臺北市大安區信義路四段３４１號
劉志鴻婦產專科診所,227785580,臺北市大安區仁愛路四段２５號１０樓Ｃ棟
施崇仁耳鼻喉科診所,227091592,臺北市大安區和平東路二段３１１巷13號１Ｆ
林繼國診所,227315568,臺北市大安區忠孝東路三段２１７巷１弄１２號１樓
光本皮膚科診所,227719643,臺北市大安區仁愛路四段四0七之一號
馬大勳婦產科診所,227527321,臺北市大安區安和路一段１１號２樓－１
國治內科診所,223775352,臺北市大安區安居街９８巷１８號
頂好林耳鼻喉科診所,227783142,臺北市大安區敦化南路一段１６０巷５０號
黃禎憲皮膚科診所,223681919,臺北市大安區師大路７1號2樓及７7號
涂白河診所,223250159,臺北市大安區復興南路二段１５１巷２1號
非凡整形外科診所,02 27214808  27511088,臺北市大安區忠孝東路四段一六二號三樓
大學眼科診所,223688055,臺北市大安區新生南路三段五四之三號一樓及五四巷二號B1
吳偉敬整形外科診所,227787026,臺北市大安區忠孝東路四段１４７巷１號５Ｆ
陳建銓耳鼻喉科診所,227365811,臺北市大安區樂利路９３號１Ｆ
張尚哲婦產科診所,227721222,臺北市大安區忠孝東路四段２１０號４Ｆ
李翔耳鼻喉科診所,223697877,臺北市大安區和平東路二段３０號１Ｆ
蔡青松整形外科診所,227316837,臺北市大安區仁愛路四段４１９號３Ｆ
霍天年整形外科診所,87718468,臺北市大安區忠孝東路四段一九一號六樓之一
葉明憲小兒科診所,223691688,臺北市大安區羅斯福路三段１９１號２Ｆ
張渝醫師診所,227321318,臺北市大安區基隆路二段２７０號１Ｆ
羅斯福診所,223694964,臺北市大安區羅斯福路3段253號2樓，2樓之1，2樓之3
啟誠聯合診所,223784380,臺北市大安區和平東路二段120號1樓、2樓、3樓、4樓
通化延吉診所,27059009,臺北市大安區信義路四段２６５巷３６號
健全聯合診所,23943266,臺北市大安區金山南路二段１５２號一樓及 B１
林正宗婦產科診所,227337008,臺北市大安區和平東路三段100號2樓
聯元復健診所,223776516,臺北市大安區和平東路三段２２８巷３５號一樓及地下一樓
蔣曉山整形外科診所,87738939,臺北市大安區敦化南路一段１９２號２樓
臺北市立聯合醫院附設大安門診部,227390344,臺北市大安區辛亥路3段15號
臺北市立聯合醫院附設萬華門診部,23395383,臺北市萬華區東園街152號
絕色整形外科診所,23880221,臺北市萬華區成都路13號(實際營業地址:9樓)
益銓診所,23331323,臺北市萬華區萬大路233號
萬華身心精神科診所,23088878,臺北市萬華區和平西路3段149號
吳淑芬眼科診所,23060328,臺北市萬華區環河南路二段195號
君綺比佛利時尚診所,23112500,臺北市萬華區中華路一段90號5樓
極緻醫美診所,23703838,臺北市萬華區西寧南路155號(實際營業地址:3樓)
陽光眼科診所,23716961,臺北市萬華區貴陽街二段81號
神話李奇醫美診所,23615290,臺北市萬華區西寧南路155號(實際營業地址:4樓)
麗思醫美診所,23888863,臺北市萬華區成都路4號4樓
萬華瀚群骨科診所,23368080,臺北市萬華區西園路一段200號3樓
日安診所,23087719,臺北市萬華區環河南路二段145號
崇仁復健科診所,23320302,臺北市萬華區青年路152巷2號
廖內科診所,23025142,臺北市萬華區艋舺大道120巷11弄22號1樓
君怡耳鼻喉科診所,23891191,臺北市萬華區貴陽街二段七十六號一樓
景新耳鼻喉科診所,23391222,臺北市萬華區寶興街74號、74之1號1樓
