,54e0cc8e-6f30-43c2-aa6d-333ad38a10d1
"LABORATORIES DEDIEU",54eed492-4fd8-47eb-a914-5091d38a10d1
"LABORATORIES DEXO31, RUE, D'ARRAS, 92000 NANTERRE",54eed495-c144-40b5-9a40-5091d38a10d1
"LABORATORIES ERN. S.A.CALLE PEDRO IV. 499 BARCE-LONA (20)",54eed495-b43c-4672-b62d-5091d38a10d1
"LABORATORIES F0URNIER S.A.42, RUE DE LONGVIC 21300 CNENOVE",54eed496-d7d4-4302-a477-5091d38a10d1
"LABORATORIES FOURNIER S.A.RUE DES PRES POTETS 21121 FONTAINE LES DIJON FRANCE",54eed497-53c4-47a7-a457-5091d38a10d1
"LABORATORIES FRANCAIS DE THERAPEUTIQUE41A55 RUE DE TAUZIA 33800 BORDEAUX",54eed494-b164-4ca0-9b3d-5091d38a10d1
"LABORATORIES FRESENIUS FRANCE PHARMA6, RUE DU REMPART, 27400 LOUVIERS, FRANCE.5, PLACE DU MARIVEL 92316 SEVRES CEDEX, FRANCE",54eed493-922c-4568-8001-5091d38a10d1
"LABORATORIES GALDERMAZONE INDUSTRIELLE-MONTDESIR, 74540 ALBY SUR CHERAN, FRANCE",54eed499-2764-4cea-ba38-5091d38a10d1
"LABORATORIES GLAXO FRANCEZONE IND,NO,2 23,RUE LAVOISIER,27000 EVREUX",54eed497-dca0-4d87-9196-5091d38a10d1
"LABORATORIES GOUPIL S. A.30 AVENUE DU PRESIDENT WILSON-94230-CACHAN",54eed496-a180-4387-a85f-5091d38a10d1
"LABORATORIES HOUDE15 RUE OLIVIER METRA 75980 PARIS CEDEX 20",54eed48a-6c38-40c0-a22e-5091d38a10d1
"LABORATORIES INNOTHERA41150 CHOUZY SUR CISSE FRANCE10,AVENUE PAUL VAILLANT COUNTURIER 94110ARCUEIL FRANCE",54eed494-0050-4107-825a-5091d38a10d1
"LABORATORIES LAPHALAVENUE DE PROVENCE 13190 ALLAUCH",54eed494-61ec-46c0-9b1e-5091d38a10d1
"LABORATORIES LEMATTE & BOINOT52, RUE LA BRUYERE 75009 PARIS",54eed495-4c50-4a69-b6d9-5091d38a10d1
"LABORATORIES MARTIN03000 MOULINS",54eed495-a740-402a-9c37-5091d38a10d1
"LABORATORIES MERCK SHARP & DOHME-CHIBRET3 AVENUE HOCHE-75008 PARIS",54eed494-50e8-4872-8a9e-5091d38a10d1
"LABORATORIES PHARMACEUTIQUES DEXO S.A.31, RUE D'ARRAS 92000 NANTERRE FRANCE",54eed497-4aa4-4505-9c21-5091d38a10d1
"LABORATORIES PHARMEUROP8, IMPASSE DE LA MONTJIE-93210 LA-PLAINE ST-DENIS",54eed497-eab4-4a36-a7d3-5091d38a10d1
"LABORATORIES ROCHE NICHOLAS S.A.20, RUE JEAN JANRE'S 92800 PUTEAUX",54eed493-b5f4-460e-adef-5091d38a10d1
"LABORATORIES SAREP PHARMEUROP3, IMPASSE DE LA MONTJOIE 93210 LA PLAINE SAINT DENIS",54eed493-f5d4-4500-8aaf-5091d38a10d1
"LABORATORIES SAUTER S.A.CASE POSTALE 1211. GENEVA",54eed489-39d8-4ff5-ade0-5091d38a10d1
"LABORATORIES SMBRUE DE LA PASTORALE 26-28 1080 BRUXELLES",54eed496-4564-4331-b81b-5091d38a10d1
"LABORATORIES SYNTHELABO FRANCEAVENUE GUSTAVE EIFFEL 37001 TOURS CEDEX FRANCE22 AVENUE GALILEE, 92350 LE PLESSIS ROBINSON, FRANCE",54eed492-57c8-4fcf-8242-5091d38a10d1
"LABORATORIES UPJOHNPARC INDUSTRIEL D'INCARVILLE 27100 LE VAUDOEUIL",54eed494-3d88-4d1b-acaa-5091d38a10d1
"LABORATORIES UPSA304,AVENUE DU DOCTEUR JEAN BRU-47000 AGEN FRANCE",54eed495-131c-46a3-8d74-5091d38a10d1
"LABORATORIES VIFOR S.A.48 ROUTE DE DRIZE GENEVE",54eed489-1480-481f-ac93-5091d38a10d1
"LABORATORIO BIOLOGICO ZANONIVIA ALAMANNI N. 19, MILANO",54eed48b-c240-4ddb-adf5-5091d38a10d1
"LABORATORIO CHIMICO FARMACEUTICOVIA DI VITTORIO 2-ORIGGIO(VARESE) ROMA ITALY",54eed494-0324-44dd-9edb-5091d38a10d1
"LABORATORIO CHIMICO INTERNAZIONALE (LABOCHIM) S.P.A.VIA TOMMASO SALVINI, 10 20122 MILANO, ITALY",54eed499-d828-4762-a8a5-5091d38a10d1
"LABORATORIO CHIMICO INTERNAZIONALE S.P.A.VIALE VITTORIO VENETO, 6-1 20124 MILANO",54eed494-41bc-4ce1-aa9a-5091d38a10d1
"LABORATORIO FARMACEUTICO C.T. S.R.L.18038 SANREMO (IMPERICA) VIA DANTE ALIGTIERI 71 ITALY",54eed48a-c490-498a-82dd-5091d38a10d1
"LABORATORIO FARMACEUTICO S.I.T  S.R.LVIA CAVOUR 70, 27035 MEDE (PV), ITALY",54eed499-4e64-45f0-8863-5091d38a10d1
"LABORATORIO FARMACEUTICO S.I.T. S.P.A.VTA CAVOUR,78 27035 MEDE (PAVIA)",54eed495-68c0-4469-a6ea-5091d38a10d1
"LABORATORIO FARMACO BIOLOGICO CROSARA (CROSARA S.R.L)VIA CAMPOBELLO  NO.15, 00040 POMEZIA ROME-ITALY",54eed489-90e0-4f0f-839a-5091d38a10d1
"LABORATORIO FARMACO-BIOLOGICO OPOCRIN S.P.A.",54eed496-a8c8-4fbd-89d1-5091d38a10d1
"LABORATORIO FARMACOLOGICO MILANESE S.R.L.273-21042 CARONNO PERTUSELLA (VARESE) VIA MONTEROSSO",54eed495-1ddc-44b0-8ad3-5091d38a10d1
"LABORATORIO FERRER S.L.GRAN VIA, CARLOS III 94 BARCELONA-14",54eed492-0304-415c-940f-5091d38a10d1
"LABORATORIO GUIDOTTI & C S.P.A.VIA TRIESTE 40-56100, PISA",54eed48b-4e44-409c-a1ee-5091d38a10d1
"LABORATORIO ITALIANO BIOCHIMICO FARMACEUTICO COLISAPHARMA S.P.A. ITALY 11 LICINIO STREET ERBA (COMO-ITALY)",54eed497-4fa8-456b-8845-5091d38a10d1
"LABORATORIO ITALIANO BIOCHIMICO FARMACEUTICO LISAPHARMA S.P.A11 LICINIO STREET ERBA COMO",54eed492-ff30-473f-bacb-5091d38a10d1
"LABORATORIO LIBERMAN S.L.PEDRO IV, 84 BARCELONA",54eed495-c2c8-4e3f-846c-5091d38a10d1
"LABORATORIO OFTALMISO S.L.ESTACION 6, APARTADO 46 BENIAJAN MURCIA",54eed495-b424-41e8-ba27-5091d38a10d1
"LABORATORIO PRODES S.A.TRABAJO S/N SAN JUSTO DESVERN BARCELONA",54eed495-f150-42d4-8b4c-5091d38a10d1
"LABORATORIO PRODOTTI FARMACEOTICI ""BONISCONTRO & GAZZONE""TURIN",54eed48a-c574-4c7e-a459-5091d38a10d1
"LABORATORIO REIG JOFRE, S.A.JARAMA 111, POLIGONO INDUSTRIAL, 45007 TOLEDO, SPAIN",54eed489-bd58-4056-a2b0-5091d38a10d1
"LABORATORIO ROGER BELLONMILANO",54eed489-ce20-443f-b4f5-5091d38a10d1
"LABORATORIO TERAPEUTICO M.R.FIRENZE",54eed49a-16d4-49e8-867b-5091d38a10d1
"LABORATORIO WASSERMANN SOCIEDAD ESPANOLA DE ESPECIALIDADES FARMACO-TERAPEUTICA08026-BARCELONA AVDA. SAN ANTONIO MARIA",54eed495-1f20-43dc-b5be-5091d38a10d1
"LABORATORIOS ANDRADE",54eed492-fa64-4719-ba63-5091d38a10d1
"LABORATORIOS ARGENOL S.L.AUTOVIA DE LOGRONO KM 7400 P.I. EUROPA 2, NAVE 1 50011 ZARAGOZA SPAIN",54eed498-b698-42ce-b175-5091d38a10d1
"LABORATORIOS ATRAL S.A.R.L.VALA DO CARREGADO, GOMES, PEREIRA AVENUE 74 LISBOA",54eed489-cca4-4996-a4d4-5091d38a10d1
"LABORATORIOS B. O. I. S. A.GANDUXER 22, 5, 1, 08021-BARCELONA, CEXPANA",54eed496-eec4-4f31-ba60-5091d38a10d1
"LABORATORIOS B.O.I.S.A.PADILLA 370 BARCELONA-25. (ESPANA)",54eed495-5db4-4f4f-9a8f-5091d38a10d1
"LABORATORIOS BAMA-GEVE, S.A.BALMES, 433 BARCELONA-22 (ESPANA)",54eed494-c748-4961-a131-5091d38a10d1
"LABORATORIOS BETA S.A.RUTA 5 NO 3753 - PARQUE INDUSTRIAL 5300, LA RIOJA, ARGENTINA",54eed499-7728-4518-9a7c-5091d38a10d1
"LABORATORIOS BIALAPARTADO 75-PORTO",54eed495-68dc-445b-b7df-5091d38a10d1
"LABORATORIOS CENTR UM S.A.SAGITARIO, 12-ALICANTE",54eed493-76e8-4313-9aae-5091d38a10d1
"LABORATORIOS CINFA S.A.OLAZ-CHIPI 10-POL ARETA 31620 HUARTE-PAMPLONA SPAIN",54eed498-74ec-40f0-b0ed-5091d38a10d1
"LABORATORIOS DR. VINYALS S.A.GRANADA 21-25 POLIGONO LOS FONDOS 08740 SANT ANDREU DE LA BARCA-BARCELONA SPAIN",54eed499-9568-4897-ae2d-5091d38a10d1
"LABORATORIOS GRIFOLS S.A.POLIGONO LEVANTE,C/CAN GUASCH 2 PARETS DELVALLES BARCELONA,SPAIN.JESUS Y MARIA,6,BARCELONA 6 DIREC,SPAIN.",54eed489-6940-4d88-b0fd-5091d38a10d1
"LABORATORIOS HOSBON S.A.MONTANA, 83-85-87 08026 BARCELONA",54eed493-b694-4dbc-90aa-5091d38a10d1
"LABORATORIOS HUBBER S.A.38-48 BERLIN STREET,BARCELONA",54eed489-8800-47f3-ac71-5091d38a10d1
"LABORATORIOS JORBA S.A.JESEFA VALCARCEL 30 MADRID-27",54eed489-50c8-423d-ad22-5091d38a10d1
"LABORATORIOS JULIAN DE MEXICO S.A. DE C.V.CALLE 37 ESTE NO. 126 CIVAC C.P. 62500 JIUTEPEC MORELOS MEXICO",54eed499-44d0-4a01-ab8b-5091d38a10d1
"LABORATORIOS LANDERLAN S.A.AGASTIA 67, MADRID-27",54eed489-24f8-41e0-8ffe-5091d38a10d1
"LABORATORIOS LARMA S.A.AVDA DE LOS MADRONOS 33, MADRID-33",54eed493-3038-4e0e-894f-5091d38a10d1
"LABORATORIOS LASACARRETERA LAUREA MIRO 385-387, 08980 SANT FELIU DE LLOBREGAT, BARCELONA",54eed497-040c-4470-9dec-5091d38a10d1
"LABORATORIOS LIADE S. A.CARRETERA DE BARCELONA KM. 28. 600-ALCALA DE HENARES (MADRID)",54eed495-e830-46c6-8677-5091d38a10d1
"LABORATORIOS MEDIX S.A.AVDA, DE ARAGON, 13, MADRID-27",54eed496-c594-4225-af34-5091d38a10d1
"LABORATORIOS NORMON S.A.NIERENBERY, 10-STREEL MADRID",54eed494-ac4c-42d4-9210-5091d38a10d1
"LABORATORIOS ROBERT S.A.AV SAN ANTONIO MA CLARET 158-164, BARCELONA",54eed493-b4f0-4c40-ac49-5091d38a10d1
"LABORATORIOS UCB-PEVYA S.A.6, S. RAMON Y CAJAL MOLINS, DE REY, BARCELONA",54eed493-7700-4055-8951-5091d38a10d1
"LABORATORIUM APIA WALTER SPEISER KGIM HEIDL 1 763 LAHR /SCHWARWALD",54eed495-ac4c-49b4-a641-5091d38a10d1
"LABORATORIUM DR. G. BICHSEL AGWEISSENAUSTRASSE 3800 UNTERSEEN",54eed496-0830-44bd-93af-5091d38a10d1
"LABORIES ARCHILUX S.A.R.L.2A, ROUTE D'ETTELBRUCK, BERIN GEN-MERSCH, LUXEMBOURG",54eed495-57bc-48b4-9806-5091d38a10d1
"LACER, S.A.C/BOTERS, 5, PARC TECNOLOGIC DEL VALLES, 08290 CERDANYOLA DEL VALLES, BARCELONA, SPAIN",54eed48a-6460-419f-8382-5091d38a10d1
"LACHYMARS SRLVIA DEIIF INDUSTRIE 6, 20020 CERIANO LAGHETTO (MI)",54eed497-36e0-4b7e-82da-5091d38a10d1
"LAGAP S.A. (LAGAP LIMITED)VIA SAN GOTTARDO 22, 6943 VEZIA (LUGANO)",54eed48b-222c-44d1-877d-5091d38a10d1
"LAKE & CRUICKSHANK LTD.MUIREDGE INDUSTRIAL ESTATE BUCK-HAVEN SCOTLAND KY8 ILJ",54eed494-fe90-4e5c-bfc7-5091d38a10d1
"LAKE CHEMICALS PRIVATE. LTD.21 M, ATTIBELE INDUSTRIAL AREA, ANEKAL TALUK, BANGALORE, KARNATAKA STATE, 562 107, INDIA.",54eed499-bfe0-4e09-a784-5091d38a10d1
"LAKE CHEMICALS PVT. LTD.21 M ATTIBELE INDUSTRIAL AREA ANEKAL TALUK BANGALORE-562 107 KARNATAKA STATE INDIARAVIKIRAN APARTMENTS #12 PLAIN STREET BANGALORE-560 001 INDIA",54eed499-f024-4724-bc0e-5091d38a10d1
"LAKESIDE BELGIUM DIVISION OF RICHARDSON-MARRELL S.A.",54eed495-da74-4eed-920a-5091d38a10d1
"LAKESIDE LAB. INC.WISCONSIN",54eed489-b124-460a-ad95-5091d38a10d1
"LAMBDA PHARMACEL LAB. INC.NEW YORK",54eed494-4dc8-4d27-805f-5091d38a10d1
"LAMP SAN PROSPERO S.P.A.VIA DELLA PACE, 25/A, SAN PROSPERO, MODENA, I-41030, ITALY",54eed48a-9be0-4707-b2fc-5091d38a10d1
"LAMPUGNANI FARMACEUTICI S.P.A.VIA, GRAMSCI 4-20014 NERVIANO MILANO",54eed495-2088-4250-881f-5091d38a10d1
"LANNACHER HEIMITTEL G. M. B. H.A-8502 LANNACH, STEIERMARK",54eed493-215c-4b75-82a8-5091d38a10d1
"LANTHEUS MEDICAL IMAGING331 TREBLE COVE RD., BILLERICA, MASSACHUSETTS 01862",54eed49a-6bcc-4bfe-8a0c-5091d38a10d1
"LANTHEUS MEDICAL IMAGING, INC.331 TREBLE COVE ROAD, NORTH BILLERICA, MASSACHUSETTS 01862, U.S.A.",54eed49a-2934-4534-afa3-5091d38a10d1
"LAPLEX S.A.AVDA, GRAL. EUGENIO GARZON 5928, BUENOUS AIRES",54eed495-2acc-4efe-ab39-5091d38a10d1
"LAPORTE ORGANICS FRANCIS S. P. A.VIA ORIGGIO 23-21042 CARONNO PERTUSELLA (VARESE)",54eed489-25a0-489e-bd1c-5091d38a10d1
"LAPORTE ORGANICS FRANCIS S.P.A.VIA BERGAMO 15, 21042 CARONNO PERTUSELLA (VARSE)",54eed493-98d0-49dc-82a8-5091d38a10d1
"LAPPE PHARMACEUTICALS5060 BERGISCH GLADBACH",54eed495-a760-456f-8b1b-5091d38a10d1
"LARK S. P. A.VIA FABIO. FIZI 25/A. 20124. MILANO",54eed494-0270-43c4-b27c-5091d38a10d1
"LARK S.P.A.20098 SAN GIULIANO MIANESE (MILAN) VIALE DELLA LIBERAZIONE.",54eed492-2208-44a5-973c-5091d38a10d1
"LASER LABORATORI FARMACEUTICI S.R.L.ROMA",54eed48c-a6f0-41e5-bcfc-5091d38a10d1
"LCO SANTE17 RUE DE PONTOISE 95520 OSNY FRANCE",54eed499-2144-4660-b9ba-5091d38a10d1
"LE LABORATOIRECHOAY CHIMIE, 46, AVENUE THEOPHILE GAUTIER 75782, PARIS",54eed495-4788-4b61-b601-5091d38a10d1
"LE NIGEN N.INDUSTRIES5 BOULEVARD EIFFEL BP 13,21601 LONGVIC CEDEX FRANCE",54eed496-9cf8-46d1-918f-5091d38a10d1
"LEAD CHEMICAL CO., LTD.NO. 3, HIMATA 77, TOYAMA CITY, TOYAMA",54eed497-da50-4664-83a3-5091d38a10d1
"LEDERLE LABORATORIES DIVISION AMERICAN CYANAMID COMPANYPEARL RIVER N.Y. 10965 U.S.A.",54eed497-e4fc-4f34-9f21-5091d38a10d1
"LEDERLE LABORATORIES, CYANAMID OF GREAT BRITIAN LTD.GOSPORT, HAMPSHIRE, ENGLAND",54eed48a-a9f8-4b9e-a707-5091d38a10d1
"LEDERLE PARENTERALS, INC.CAROLINA, PUERTO RICO 00987",54eed497-a958-4ac9-bfc3-5091d38a10d1
"LEDERLE PHARMACEUTICAL DIVISION OF AMERICAN CYANAMID COMPANYPEARL RIVER, NEW YORK 10965",54eed489-a6dc-485d-bbc9-5091d38a10d1
"LEDERLE-ARZNEIMITTEL GMBHPFAFFENRIEDER STRABE 7,D-82515 WOLFRATSHAUSHEN",54eed494-1974-4aee-a4af-5091d38a10d1
"LEE PHARMA LIMITEDSY. NO. 10/G-1, GADDAPOTHARMAM, VILLAGE, JINNARAM MANDAL, MEDAK DISTRICT, ANDHRA PRADESH, INDIA",54eed49a-2360-44dd-98a6-5091d38a10d1
"LEIRAS ORHEIDEHOFINTIE 2, SF-01300 VANTAA",54eed493-b230-4286-9899-5091d38a10d1
"LEIRAS OYNIITTYHAANKATU 20, 33720 TAMPERE, FINLAND",54eed493-f048-4836-b6ea-5091d38a10d1
"LEK PHARMACEUTICAL AND CHEMICAL COMPANY D.DVEROVSKOVA 57,1526LJUBLJANA, SLOVENIA",54eed494-1718-43c9-8fd0-5091d38a10d1
"LEK PHARMACEUTICAL D.D., SLOVENIAVEROSKOVA 57, SI-1526 LJUBLJANA, SLOVENIA",54eed489-07f0-4e18-8f11-5091d38a10d1
"LEK PHARMACEUTICALS D.DVEROVSKOVA 57, SL-1526 LJUBLJANA, SLOVENIA",54eed489-4bf4-4d44-83b4-5091d38a10d1
"LEK PHARMACEUTICALS, D.D.VEROVSKOVA 57, 1526 LJUBLJANA, SLOVENIA",54eed49a-f23c-4b48-a879-5091d38a10d1
"LEK S.A.U1. PODLIPIE 16, 95-010 STRYKOW, POLAND",54eed498-1b1c-489b-ae0f-5091d38a10d1
"LEMMON PHARMACEUTICAL CO.(LEMON PHARMACAL CO.)CATHILL AND LONELY RD. WEST ROCK HILL TOWNSHIP, BUCHS COUNTY PENNSYLVANIA",54eed493-da7c-41c7-b612-5091d38a10d1
"LENNON LIMITED7 FAIRCLOUGH ROAD LORSTEN PORT ELIXABETH 6001 SOUTH AFRICA",54eed497-eec8-48c0-b10c-5091d38a10d1
"LEO LABORATORIES LIMITED285 CASHEL ROAD, CRUMLIN, DUBLIN 12, IRELAND",54eed496-e714-4962-94ba-5091d38a10d1
"LEO PHARMA A/S55 INDUSTRIPARKEN DK-2750 BALLERUP",54eed494-b784-41ab-b642-5091d38a10d1
"LEO PHARMACEUTICAL PRODUCTS55 INDUSTRIPARKEN DK-2750 BALLERUP",54eed493-cc00-479d-9261-5091d38a10d1
"LEO PHARMACEUTICAL PRODUCTS LTD. A/S55,INDUSTRIPARKEN,DK-2750 BALLERUP,DENMARK",54eed495-4e64-4d8f-a848-5091d38a10d1
"LEO PHARMACEUTICAL PRODUCTS LTD. A/S (LEO PHARMA A/S)55 INDUSTRIPARKEN DK-2750 BALLERUP",54eed499-1778-4ca9-a950-5091d38a10d1
"LEPHARMA VIAMONTEVERDI 5 20131 MILAN.",54eed493-fc0c-46c6-be00-5091d38a10d1
"LES LABORATOIRES BRUNEAU ETCIE PARIS",54eed489-299c-4405-92f1-5091d38a10d1
"LES LABORATOIRES DAUSSENO. 60, RUE LA GLACIERE, PARIS 13E",54eed493-8544-4c7a-9b4a-5091d38a10d1
"LES LABORATOIRES ROUSSEL35, BD DES INVALIDES 75007 PARIS FRANCE97, RUE VAUGIRARD 75006 PARIS, FRANCE",54eed492-d328-418e-abc8-5091d38a10d1
"LES LABORATOIRES SERVIER INDUSTRIE45520 GIDY FRANCE22 RUE GARNIER 92200 NEUILLY SUR SEINE FRANCE",54eed493-35bc-41c3-9316-5091d38a10d1
"LES LABORATOIRES SERVIER.50 RUE CARNOT, 92284 SURESNES CEDEX, FRANCE.",54eed48a-8a84-4604-985e-5091d38a10d1
"LIAONING SENRONG PHARMACEUTICAL CO., LTD.GUJIAO VILLAGE, SHUANGTAIZI DISTRICT, PANJIN, CHINA",54eed48c-58a0-47f5-b9e7-5091d38a10d1
"LIAONING SENRONG PHARMACEUTICAL CO.,LTDGUJIA VILLAGE, SHUANGTAIZI DISTRICT, PANJIN CITY LIAONING PROVINCE, CHINA",54eed48b-2b60-4bb0-b66f-5091d38a10d1
"LIAONING XINGHAI PHARMACEUTICAL CO.,LTDXINGLONGTAI INDUSTRIAL DEVELOPMENT ZONE OF PANJIN CITY LIAONING PROVINCE CHINA.",54eed48b-ff3c-4fde-878a-5091d38a10d1
"LIAOYUAN CITY BAIKANG PHARMACEUTICAL CO., LTD.NO.124, XINXING STREET, LIAOYUAN CITY, JILIN PROVINCE, CHINA",54eed48b-29c8-4aaa-acae-5091d38a10d1
"LIAOYUAN SILVER EAGLE PHARMACEUTICAL CO., LTD.NO.2 FUAN ROAD LIAOYUAN CITY JILIN CHINA",54eed48b-f27c-4648-bca1-5091d38a10d1
"LIFE PHARMA S.R.L.VIA NICOLA D' APLIA 820125 MILANO",54eed48b-e2c0-45be-ac2c-5091d38a10d1
"LIFELINE INDUSTRIES LIMITEDUNIT NO.III,PLOT NO. 65,NEW CHEMICAL ZONE,M.I.D.C., TALOJA, DIST. RAIGAD-410 208,MAHARASHTRA, INDIA",54eed499-35ac-4075-ad49-5091d38a10d1
"LIFEPHARMA  S. P. A.VIALE FULVIO TESTI 330 MILANO 20126",54eed494-5288-45e8-9537-5091d38a10d1
"LILLY DEL CARIBE INC.12.3 KM, 65TH INFANTRY ROAD, CAROLINA 00985, PUERTO RICO",54eed48a-31a4-469b-8205-5091d38a10d1
"LILLY DEL CARIBE, INC.MAYAGUEZ,PUERTO RICO 00680CAROLINA,PUERTO RICO 00630",54eed496-f8c8-43ec-91fb-5091d38a10d1
"LILLY DEUTSCHLAND GMBHTEICHWEG 3, D-35396 GIESSEN/GERMANY",54eed48a-db28-4d6e-910a-5091d38a10d1
"LILLY FRANCE2 RUE DU COLONEL LILLY 67640 FEGERSHEIM, FRANCE.",54eed48a-daf8-44a6-8517-5091d38a10d1
"LILLY FRANCE S.A.RUE DU COLONEL LILLY 67640 FEGERSHEIM, FRANCE.203, BUREAUX DE LA COLLINE, 92213 SAINT CLOUD, FRANCE",54eed48a-ef1c-4133-815d-5091d38a10d1
"LILLY FRANCE S.A.S.ZONE INDUSTRIELLE 2 RUE DU COLONEL LILLY 67640 FEGERSHEIM, FRANCE",54eed48a-d708-4153-a068-5091d38a10d1
"LILLY PHARMA FERTIGUNG UND DISTRIBUTION GMBH & CO. KGTEICHWEG 3 D-35396 GIESSEN, GERMANY",54eed48a-bf10-40bc-a399-5091d38a10d1
"LILLY S.A.AVDA DE LA INDUSTRIA 30 28108 ALCOBENDAS MADRID SPAIN",54eed498-dd90-495d-ab41-5091d38a10d1
"LINARIA CHEMICALS (THAILAND) LTD.309 BANGPOO INDUSTRIAL ESTATE, Soi 6 C,SUKHUMVIT ROAD MOO 4, TUMBOL PHRAKSA, AMPUR MUANGSAMUTPRAKAN, SAMUTPRAKAN, THAILAND.",54eed498-f8b8-4475-bfaf-5091d38a10d1
"LINNEA S.A6595 RIAZZINO(TI)",54eed495-ce60-4f47-8b68-5091d38a10d1
"LINNEA SAVIA CANTONALE, CH-6595 RIAZZINO, SWITZERLAND.",54eed497-df40-4d5c-9b96-5091d38a10d1
"LION CORPORATION.NO.1-3-7 HONJO. SUMIDA-KU TOKYO.",54eed495-ab60-46e6-ba25-5091d38a10d1
"LIPHA PHARMACEUTICALS LTD.CADWELL LANE, HITCHIN, HERTFORDSHIRE, SG4 OSF",54eed494-c104-40d3-a850-5091d38a10d1
"LIPOMED AGFABRIKMATTENWEG 4 CH-4144 ARLESHEIM SWITZERLAND",54eed498-f238-4ac5-95ec-5091d38a10d1
"LISAC S.A.SAN FAUSTO DE CAMPECNTELLAS,BARCELRNA",54eed496-07cc-4c48-a560-5091d38a10d1
"LISAPHARMA S.P.A.VIA LICINO, 11-13 22036 ERBA (COMO)",54eed493-8ad0-43a5-9977-5091d38a10d1
"LMC LYSOZYME MANUFACTURING COMPANY B.V.ENERGIEWEG 9, 8071 DA, NUNSPEET, THE NETHERLANDS",54eed49a-9078-42c0-861f-5091d38a10d1
"LOBA FEINCHEMIE GMBHFEHRGASSE 7, A-2401 FISCHAMEND, AUSTRIA",54eed489-b63c-425f-8fe5-5091d38a10d1
"LOMAPHARM RUDOLF LOHMANN GMBH KG.3254 EMMERTHAL / WASE",54eed493-a0ac-4264-a3a9-5091d38a10d1
"LONZA AGLONZASTRASSE, CH-3930 VISP, SWITZERLAND",54eed48d-2778-4c1c-9ae4-5091d38a10d1
"LONZA BALTIMORE, INC.5901 EAST LOMBARD STREET, BALTIMORE, MD 21224, USA",54eed48c-758c-4697-9be7-5091d38a10d1
"LONZA BIOLOGICAL INC.101 INTERNATIONAL DRIVE, PEASE INTERNATIONAL TRADEPORT, PORTSMOUTH, NEW HAMPSHIRE 03801, U.S.A.",54eed48a-051c-414d-bf75-5091d38a10d1
"Lonza Biologics Porrino, S.L.A Relva s/n 36400 O Porrino Pontevedra, Spain",54eed48b-26b4-4bb4-a0e1-5091d38a10d1
"LONZA BIOLOGICS, INC.101 INTERNATIONAL DRIVE PEASE INTERNATIONAL TRADEPORT PORTSMOUTH, NEW HAMPSHIRE, U.S. 03801",54eed48d-5b6c-4528-8c8e-5091d38a10d1
"LONZA GUANGZHOU LTD.39, JINHUI ROAD, HAIZHU DISTRICT, GUANGZHOU 510288, P.R. CHINA",54eed48b-7cd8-48cf-9ce5-5091d38a10d1
"LONZA INC.22-10 ROUTE 208, FAIR LAWN N.J. 07410",54eed496-703c-48fd-9bc4-5091d38a10d1
"LONZA INC.(O)2031 EAST 65TH STREET,LOS ANGELES,CALIFORNIA 90001 U.S.A1922 EAST 64TH ST. LOS ANGELES CALIF. 90001",54eed496-d96c-483e-ac5e-5091d38a10d1
"LONZA LTD.CHEMIE, LONZASTRASSE, 3930 VISP, SWITERLAND",54eed48d-4580-4a1a-bcba-5091d38a10d1
"LPB ISTITUTO FARMACEUTICO S.P.A.CINISELLO BALSAMO (MILANO) VIA DEI LAVORATORI 54",54eed493-a0b4-40d9-8f3a-5091d38a10d1
"LTS LOHMANN THERAPIE SYSTEME AG, ANDERNACH, GERMANYLOHMANNSTRASSE 2 POSTFACH 1525 D-56605 ANDERNACH GERMANY",54eed497-1e94-44e5-a117-5091d38a10d1
"LTS LOHMANN THERAPIE-SYSTEM AGLOHMANN STRASSE 2, D-56626 ANDERNACH, GERMANY",54eed48b-89d8-4f89-824d-5091d38a10d1
"LTS LOHMANN THERAPIE-SYSTEME AGLOHMANNSTR 2,D-56626 ANDERNACH,GERMANY",54eed497-79e8-4678-902e-5091d38a10d1
"LUCAS MEYER 2000HEIDELOFFSTRABE 18-28 D8500 NURNBERG",54eed494-e208-41f0-ad79-5091d38a10d1
"LUNDBECK INC.FOUR PARKWAY NORTH, SUITE 200, DEERFIELD, ILLINOS 60015 USA",54eed497-e65c-4ead-b1d1-5091d38a10d1
"LUPIN CHEMICALS (THAILAND) LTD.309 SOI 6 PATTANA 3RD BANGPOO INDUSTRIAL ESTATE SUKHUMVIT ROAD TAMBOL PRAKSA AMPUR MAUNG10280GEEPEE HOUSE 71 SAP ROAD, SIPHAYA, BANGKOK 10500 THAILAND",54eed497-0114-4ae7-a7cc-5091d38a10d1
"LUPIN LABORATORIES LIMITED202. NEW INDUSTRIAL AREA NO.2 MANDIDEEP DIST RAISEN M.P. INDIA.",54eed498-26e8-43ea-82b3-5091d38a10d1
"LUPIN LIMITEDA-28/1 MIDC INDUSTRIAL AREA, CHIKALTHANA, AURANGBAD , 431210, INDIA",54eed48a-f84c-4dd5-8951-5091d38a10d1
"LUSOCHIMICA S.P.A.VIA GIOTTO 9, 23871 LOMAGNA (LC), ITALY",54eed489-0be0-4c3f-a260-5091d38a10d1
